"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100901,2,1,10,27,83,"SHOTGUN","3x1",0.933333333333333,"12-15 min","visitante",-28,"PIT",1,1,0.652577824516716
2022091103,1,1,10,34,76,"PISTOL","3x1",4.36666666666667,"9-12 min","visitante",4,"rival",1,0,0.404988973636962
2022103008,4,2,10,45,55,"SHOTGUN","2x2",10.5833333333333,"3-6 min","visitante",-22,"rival",0,1,0.676253510036956
2022102311,4,3,10,40,50,"SHOTGUN","3x1",6.16666666666667,"6-9 min","visitante",-6,"PIT",1,1,0.842282969547847
2022101607,2,2,20,46,56,"SHOTGUN","2x2",5.56666666666667,"9-12 min","local",1,"rival",1,1,0.737284725012595
2022091806,1,1,10,47,63,"SHOTGUN","2x2",3.83333333333333,"9-12 min","local",-3,"PIT",0,1,0.702073824952534
2022091806,1,2,8,27,83,"SHOTGUN","3x1",14.35,"0-3 min","local",0,"PIT",1,0,0.610551504798913
2022100901,3,3,15,29,81,"SHOTGUN","3x1",0.783333333333333,"12-15 min","visitante",-28,"rival",1,1,0.857219344247852
2022100901,4,2,10,20,90,"SHOTGUN","2x2",6.35,"6-9 min","visitante",-35,"PIT",1,1,0.638918477483728
2022102311,2,1,10,10,100,"SINGLEBACK","3x1",2.01666666666667,"12-15 min","visitante",-10,"rival",0,1,0.631389401002877
2022092200,3,2,19,45,55,"SHOTGUN","2x2",10.3666666666667,"3-6 min","visitante",1,"PIT",1,0,0.610167134486843
2022103008,2,3,7,18,92,"SHOTGUN","3x1",1.21666666666667,"12-15 min","visitante",-14,"rival",1,1,0.829960442424548
2022091806,3,3,8,33,43,"SHOTGUN","3x1",6.45,"6-9 min","local",-7,"rival",1,1,0.830212167000566
2022100901,1,2,9,40,50,"I_FORM","2x1",11.3166666666667,"3-6 min","visitante",-7,"PIT",0,1,0.676158385220143
2022100901,2,1,10,25,85,"SHOTGUN","3x1",7.33333333333333,"6-9 min","visitante",-21,"PIT",1,0,0.613218929767039
2022091103,4,2,12,15,95,"PISTOL","3x1",1.73333333333333,"12-15 min","visitante",6,"PIT",1,0,0.459475624225874
2022102311,2,1,10,22,88,"I_FORM","2x1",2.45,"12-15 min","visitante",-10,"rival",0,0,0.617938047796702
2022091103,1,2,8,27,37,"SHOTGUN","2x2",6.55,"6-9 min","visitante",4,"PIT",0,1,0.65864155948683
2022092200,2,1,10,48,58,"SHOTGUN","3x1",7.18333333333333,"6-9 min","visitante",-6,"rival",0,1,0.689457089932568
2022100210,4,1,10,48,62,"SHOTGUN","3x1",0.133333333333333,"12-15 min","local",-4,"rival",1,1,0.726544863486001
2022103008,2,1,10,39,71,"SHOTGUN","2x2",2.51666666666667,"12-15 min","visitante",-14,"rival",0,1,0.622714497803094
2022101607,3,3,5,41,51,"SHOTGUN","2x2",4.48333333333333,"9-12 min","local",1,"PIT",1,1,0.848322889631626
2022102311,2,3,3,27,83,"SHOTGUN","2x2",11.8666666666667,"3-6 min","visitante",-13,"rival",1,1,0.787979911054941
