"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101609,2,2,7,23,87,"JUMBO","2x2",14.4,"0-3 min","local",0,"SEA",1,1,0.957816638105903
2022103011,2,2,7,28,38,"SHOTGUN","3x1",5.23333333333333,"9-12 min","local",0,"SEA",1,0,0.235182147338604
2022103011,3,1,10,38,48,"SHOTGUN","3x1",5.06666666666667,"9-12 min","local",0,"SEA",1,1,0.731523338065993
2022101609,1,2,6,15,95,"SHOTGUN","3x1",7.51666666666667,"6-9 min","local",-3,"rival",1,0,0.211021148297196
2022100205,3,1,10,45,55,"SINGLEBACK","2x2",3.58333333333333,"9-12 min","visitante",8,"rival",1,1,0.774532997999405
2022102309,4,1,10,50,60,"SINGLEBACK","3x1",11.4666666666667,"3-6 min","visitante",11,"centro",0,0,0.157551934936674
2022102309,4,2,8,32,78,"SHOTGUN","3x1",10.1166666666667,"3-6 min","visitante",11,"rival",1,1,0.60333421675389
2022100906,2,2,10,15,25,"SINGLEBACK","2x2",1.91666666666667,"12-15 min","visitante",-7,"rival",0,1,0.936107363362339
2022101609,2,1,10,46,56,"SHOTGUN","2x2",0.516666666666667,"12-15 min","local",3,"rival",1,1,0.633751999429089
2022102309,1,1,10,46,56,"SINGLEBACK","2x2",10.6166666666667,"3-6 min","visitante",0,"rival",0,1,0.791798961272186
2022103011,2,4,2,6,104,"SHOTGUN","3x1",12.7,"0-3 min","local",0,"rival",1,1,0.95969397422567
2022110608,1,3,6,31,41,"SHOTGUN","3x1",11,"3-6 min","visitante",0,"rival",1,1,0.906513645782744
2022110608,4,3,2,13,23,"SHOTGUN","2x2",8.11666666666667,"6-9 min","visitante",3,"rival",0,1,0.529805398933235
2022092511,3,3,1,34,76,"SINGLEBACK","2x2",9.28333333333333,"3-6 min","local",0,"SEA",0,0,0.476173035780775
2022100906,4,1,10,50,60,"I_FORM","1x1",14.9166666666667,"0-3 min","visitante",-12,"centro",1,1,0.826731831062907
2022103011,4,1,10,20,90,"SHOTGUN","2x2",7.55,"6-9 min","local",7,"SEA",0,0,0.217574056756788
2022100205,2,2,14,44,66,"EMPTY","3x2",5.71666666666667,"9-12 min","visitante",8,"SEA",1,1,0.925986132475962
2022100205,2,1,10,40,70,"SINGLEBACK","3x1",13.1166666666667,"0-3 min","visitante",5,"SEA",0,0,0.317046409374608
2022102309,2,1,10,36,46,"SINGLEBACK","2x2",8.28333333333333,"6-9 min","visitante",3,"SEA",0,0,0.52909393163761
2022092511,1,3,1,49,59,"SINGLEBACK","3x1",5.5,"9-12 min","local",-4,"SEA",1,0,0.396569115030871
2022103011,2,1,10,25,35,"SINGLEBACK","3x1",5.85,"9-12 min","local",0,"SEA",0,0,0.41539491074877
2022092511,3,1,15,20,30,"SHOTGUN","3x1",4.46666666666667,"9-12 min","local",0,"rival",1,1,0.921664175069802
2022092511,2,1,10,20,30,"SHOTGUN","2x2",0.75,"12-15 min","local",0,"rival",1,1,0.797572591262591
2022092511,2,1,10,33,77,"PISTOL","3x1",15,"0-3 min","local",0,"SEA",1,0,0.146698757173321
2022091200,1,3,2,38,72,"SHOTGUN","2x2",11.6166666666667,"3-6 min","local",0,"rival",1,1,0.826583638295626
2022103011,4,3,7,33,77,"SHOTGUN","2x2",2,"12-15 min","local",14,"SEA",0,1,0.81797706130099
2022102309,1,1,10,16,26,"SHOTGUN","3x1",8.4,"6-9 min","visitante",0,"rival",0,0,0.050099674092253
2022101609,3,3,13,22,32,"SHOTGUN","3x1",14.3,"0-3 min","local",6,"SEA",1,1,0.995722946662841
2022103011,3,2,5,36,74,"SHOTGUN","2x2",3.6,"9-12 min","local",0,"rival",0,1,0.934698923222478
2022100205,3,2,11,27,37,"SHOTGUN","2x2",9.1,"3-6 min","visitante",16,"rival",0,1,0.912188967297013
2022103011,4,2,4,42,68,"SINGLEBACK","2x2",10.2,"3-6 min","local",0,"SEA",1,1,0.771640805608784
2022102309,1,2,1,34,44,"SINGLEBACK","3x1",5,"9-12 min","visitante",7,"rival",0,0,0.304835994538645
2022103011,1,2,9,27,83,"EMPTY","3x2",9.73333333333333,"3-6 min","local",0,"SEA",1,1,0.910191926324347
2022100906,2,1,10,15,25,"SINGLEBACK","3x1",2,"12-15 min","visitante",-7,"rival",1,1,0.635412981701539
2022100205,3,3,16,36,46,"SHOTGUN","3x1",0.666666666666667,"12-15 min","visitante",8,"rival",0,1,0.968914627603996
2022102309,1,2,20,33,77,"SHOTGUN","3x1",11.4166666666667,"3-6 min","visitante",0,"SEA",1,1,0.956693554120965
2022091200,1,2,8,28,82,"SINGLEBACK","3x1",5.55,"9-12 min","local",4,"rival",0,1,0.926815958013547
2022102309,2,1,10,25,35,"I_FORM","2x1",9.61666666666667,"3-6 min","visitante",3,"SEA",0,1,0.708706083245128
2022102309,3,1,10,36,46,"SINGLEBACK","2x2",5.66666666666667,"9-12 min","visitante",10,"rival",0,1,0.671500415086795
2022102309,1,2,10,35,75,"SHOTGUN","2x2",13.95,"0-3 min","visitante",0,"SEA",0,1,0.837376611679841
2022100906,2,2,4,31,79,"SINGLEBACK","2x2",10.3166666666667,"3-6 min","visitante",0,"SEA",0,0,0.215463073470565
2022110608,3,1,10,37,47,"SINGLEBACK","3x1",7.36666666666667,"6-9 min","visitante",-4,"SEA",0,0,0.31447483386029
2022092511,4,1,10,39,49,"SINGLEBACK","3x1",13.5666666666667,"0-3 min","local",-4,"SEA",0,1,0.550865268536655
2022102309,3,1,6,6,16,"SINGLEBACK","3x1",2.58333333333333,"12-15 min","visitante",10,"rival",1,0,0.08660217415612
2022110608,3,1,10,27,37,"PISTOL","3x1",13.3666666666667,"0-3 min","visitante",3,"SEA",1,1,0.791523547321987
2022103011,1,3,1,38,72,"WILDCAT","4x1",13.7833333333333,"0-3 min","local",0,"SEA",0,1,0.651339864419749
2022100205,3,1,10,48,62,"SHOTGUN","2x2",10.5666666666667,"3-6 min","visitante",16,"SEA",0,1,0.535827856113308
2022110608,1,1,10,35,75,"SINGLEBACK","2x2",14.9,"0-3 min","visitante",0,"SEA",1,0,0.315390873172292
2022100906,4,1,10,25,85,"SINGLEBACK","2x2",5.36666666666667,"9-12 min","visitante",-7,"SEA",0,1,0.706062871618
2022092511,4,2,7,28,38,"SHOTGUN","3x1",15,"0-3 min","local",-4,"SEA",1,1,0.911318787332299
2022103011,1,1,10,14,96,"SINGLEBACK","2x2",11.2833333333333,"3-6 min","local",0,"SEA",0,0,0.154395450882705
2022100906,3,2,15,39,71,"SHOTGUN","3x1",4.4,"9-12 min","visitante",-5,"rival",1,1,0.942741842272041
2022091200,1,2,6,12,98,"EMPTY","4x1",4.16666666666667,"9-12 min","local",4,"rival",1,0,0.281751387842614
2022091200,3,1,10,20,90,"SINGLEBACK","2x2",3.08333333333333,"9-12 min","local",4,"SEA",1,0,0.398207656990082
2022101609,3,1,10,32,78,"PISTOL","3x1",6.58333333333333,"6-9 min","local",6,"rival",0,0,0.285696685604
2022110608,1,1,10,25,85,"SINGLEBACK","2x2",6.28333333333333,"6-9 min","visitante",-4,"SEA",1,0,0.301442598151911
2022100906,2,2,10,28,38,"SHOTGUN","3x1",2.26666666666667,"12-15 min","visitante",-7,"rival",1,1,0.854815759953116
2022102309,4,1,10,37,47,"PISTOL","2x2",12.7833333333333,"0-3 min","visitante",11,"SEA",1,0,0.149073622738774
2022102309,2,1,10,27,37,"SHOTGUN","2x2",4.38333333333333,"9-12 min","visitante",3,"SEA",1,1,0.756025474984663
2022091200,3,1,10,46,64,"SHOTGUN","2x2",5.68333333333333,"9-12 min","local",4,"SEA",1,0,0.288528555756197
2022103011,2,3,8,12,98,"SHOTGUN","2x2",13.3833333333333,"0-3 min","local",0,"rival",1,1,0.997113151375638
2022092511,4,1,10,50,60,"SINGLEBACK","2x2",3.21666666666667,"9-12 min","local",-4,"centro",1,0,0.484298204835419
2022102309,3,2,7,10,100,"EMPTY","3x2",10.9,"3-6 min","visitante",10,"SEA",1,0,0.514971789966549
2022101609,2,1,10,26,36,"EMPTY","3x2",9.08333333333333,"3-6 min","local",0,"rival",1,0,0.167664126797817
2022102309,3,1,10,47,57,"SINGLEBACK","2x2",8.45,"6-9 min","visitante",10,"rival",0,0,0.396609295704428
2022091200,2,2,7,28,82,"SINGLEBACK","2x2",4.83333333333333,"9-12 min","local",0,"SEA",0,1,0.929939739869303
2022100205,2,2,25,49,61,"SHOTGUN","2x2",10.1,"3-6 min","visitante",5,"SEA",1,1,0.929109937675254
2022100906,1,1,10,42,68,"JUMBO","2x2",3.43333333333333,"9-12 min","visitante",4,"rival",0,1,0.647522214551795
2022103011,4,1,10,32,42,"SINGLEBACK","3x1",6.06666666666667,"6-9 min","local",7,"rival",1,1,0.565413074760145
2022100906,2,3,2,33,77,"SHOTGUN","3x1",9.56666666666667,"3-6 min","visitante",0,"SEA",1,1,0.797006518268225
2022092511,1,3,9,34,76,"SHOTGUN","3x1",11.55,"3-6 min","local",0,"rival",1,1,0.990687684999561
2022101609,3,2,6,37,73,"SINGLEBACK","3x1",7.4,"6-9 min","local",6,"rival",0,1,0.748763042509164
2022092511,4,1,10,37,47,"SHOTGUN","2x2",5.2,"9-12 min","local",-4,"SEA",1,0,0.320283461886093
2022091200,4,1,10,30,40,"SINGLEBACK","3x1",6.13333333333333,"6-9 min","local",1,"SEA",1,0,0.455473306722328
2022100205,1,1,10,25,35,"I_FORM","2x1",6.78333333333333,"6-9 min","visitante",1,"SEA",1,1,0.763290917938981
2022091200,3,1,10,10,100,"PISTOL","3x1",7.55,"6-9 min","local",4,"SEA",0,0,0.0419780606986639
2022102309,3,2,6,6,16,"SINGLEBACK","3x1",2.48333333333333,"12-15 min","visitante",10,"rival",0,1,0.537609430121308
2022110608,1,3,7,28,82,"SHOTGUN","3x1",5.2,"9-12 min","visitante",-4,"SEA",1,1,0.962520156024863
2022101609,2,2,3,25,85,"PISTOL","2x2",2.68333333333333,"12-15 min","local",3,"SEA",0,1,0.887045563916937
2022100906,2,1,10,50,60,"SHOTGUN","2x2",0.333333333333333,"12-15 min","visitante",-4,"centro",1,0,0.472285489179162
2022091200,2,1,10,31,79,"SHOTGUN","2x2",11.4666666666667,"3-6 min","local",4,"SEA",1,0,0.0793688227525671
2022100205,4,1,10,14,96,"SINGLEBACK","3x1",11.0833333333333,"3-6 min","visitante",7,"rival",0,0,0.0818516399851432
2022100205,3,1,10,35,75,"PISTOL","1x1",4.85,"9-12 min","visitante",8,"SEA",1,0,0.420569193507895
2022101609,4,1,10,44,54,"SINGLEBACK","3x1",15,"0-3 min","local",3,"rival",1,1,0.786463070379269
2022100906,1,2,5,30,40,"SINGLEBACK","3x1",8.88333333333333,"6-9 min","visitante",-3,"SEA",1,0,0.0336808016188013
2022100906,4,1,10,40,50,"SINGLEBACK","2x2",14.2666666666667,"0-3 min","visitante",-12,"rival",1,1,0.785600570212618
2022092511,2,3,5,25,85,"SHOTGUN","3x1",2.55,"12-15 min","local",0,"SEA",1,1,0.985271009620304
2022101609,3,1,10,40,50,"SINGLEBACK","2x2",0.333333333333333,"12-15 min","local",3,"SEA",1,1,0.574788627840384
