"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022101609,2,2,7,23,87,"JUMBO","2x2",14.4,"0-3 min","local",0,"SEA",1,1,0.80362083034889
2022103011,2,2,7,28,38,"SHOTGUN","3x1",5.23333333333333,"9-12 min","local",0,"SEA",1,1,0.616680148646346
2022103011,3,1,10,38,48,"SHOTGUN","3x1",5.06666666666667,"9-12 min","local",0,"SEA",1,1,0.682068209467418
2022101609,1,2,6,15,95,"SHOTGUN","3x1",7.51666666666667,"6-9 min","local",-3,"rival",1,0,0.487149683533973
2022100205,3,1,10,45,55,"SINGLEBACK","2x2",3.58333333333333,"9-12 min","visitante",8,"rival",1,1,0.679576450733363
2022102309,4,1,10,50,60,"SINGLEBACK","3x1",11.4666666666667,"3-6 min","visitante",11,"centro",0,0,0.300492873168342
2022102309,4,2,8,32,78,"SHOTGUN","3x1",10.1166666666667,"3-6 min","visitante",11,"rival",1,0,0.475038106136537
2022100906,2,2,10,15,25,"SINGLEBACK","2x2",1.91666666666667,"12-15 min","visitante",-7,"rival",0,1,0.766209580599847
2022101609,2,1,10,46,56,"SHOTGUN","2x2",0.516666666666667,"12-15 min","local",3,"rival",1,1,0.64815342363664
2022102309,1,1,10,46,56,"SINGLEBACK","2x2",10.6166666666667,"3-6 min","visitante",0,"rival",0,1,0.654771689021709
2022103011,2,4,2,6,104,"SHOTGUN","3x1",12.7,"0-3 min","local",0,"rival",1,1,0.795696089614024
2022110608,1,3,6,31,41,"SHOTGUN","3x1",11,"3-6 min","visitante",0,"rival",1,1,0.877260024049056
2022110608,4,3,2,13,23,"SHOTGUN","2x2",8.11666666666667,"6-9 min","visitante",3,"rival",0,1,0.638525940283067
2022092511,3,3,1,34,76,"SINGLEBACK","2x2",9.28333333333333,"3-6 min","local",0,"SEA",0,0,0.519161542179071
2022100906,4,1,10,50,60,"I_FORM","1x1",14.9166666666667,"0-3 min","visitante",-12,"centro",1,1,0.642417936011144
2022103011,4,1,10,20,90,"SHOTGUN","2x2",7.55,"6-9 min","local",7,"SEA",0,0,0.383991444701732
2022100205,2,2,14,44,66,"EMPTY","3x2",5.71666666666667,"9-12 min","visitante",8,"SEA",1,1,0.848571434049333
2022100205,2,1,10,40,70,"SINGLEBACK","3x1",13.1166666666667,"0-3 min","visitante",5,"SEA",0,0,0.442112295329987
2022102309,2,1,10,36,46,"SINGLEBACK","2x2",8.28333333333333,"6-9 min","visitante",3,"SEA",0,0,0.484961838283331
2022092511,1,3,1,49,59,"SINGLEBACK","3x1",5.5,"9-12 min","local",-4,"SEA",1,0,0.479856947509654
2022103011,2,1,10,25,35,"SINGLEBACK","3x1",5.85,"9-12 min","local",0,"SEA",0,1,0.71761680561145
2022092511,3,1,15,20,30,"SHOTGUN","3x1",4.46666666666667,"9-12 min","local",0,"rival",1,1,0.817680008612086
2022092511,2,1,10,20,30,"SHOTGUN","2x2",0.75,"12-15 min","local",0,"rival",1,1,0.577744248750303
2022092511,2,1,10,33,77,"PISTOL","3x1",15,"0-3 min","local",0,"SEA",1,0,0.436784074796387
2022091200,1,3,2,38,72,"SHOTGUN","2x2",11.6166666666667,"3-6 min","local",0,"rival",1,1,0.687959310121684
2022103011,4,3,7,33,77,"SHOTGUN","2x2",2,"12-15 min","local",14,"SEA",0,1,0.714108319825844
2022102309,1,1,10,16,26,"SHOTGUN","3x1",8.4,"6-9 min","visitante",0,"rival",0,0,0.237562431654243
2022101609,3,3,13,22,32,"SHOTGUN","3x1",14.3,"0-3 min","local",6,"SEA",1,1,0.947706024703974
2022103011,3,2,5,36,74,"SHOTGUN","2x2",3.6,"9-12 min","local",0,"rival",0,1,0.750003024196784
2022100205,3,2,11,27,37,"SHOTGUN","2x2",9.1,"3-6 min","visitante",16,"rival",0,1,0.564544940699686
2022103011,4,2,4,42,68,"SINGLEBACK","2x2",10.2,"3-6 min","local",0,"SEA",1,0,0.530726488692038
2022102309,1,2,1,34,44,"SINGLEBACK","3x1",5,"9-12 min","visitante",7,"rival",0,0,0.323214000084231
2022103011,1,2,9,27,83,"EMPTY","3x2",9.73333333333333,"3-6 min","local",0,"SEA",1,1,0.705154553206701
2022100906,2,1,10,15,25,"SINGLEBACK","3x1",2,"12-15 min","visitante",-7,"rival",1,1,0.563485147184447
2022100205,3,3,16,36,46,"SHOTGUN","3x1",0.666666666666667,"12-15 min","visitante",8,"rival",0,1,0.890795494967716
2022102309,1,2,20,33,77,"SHOTGUN","3x1",11.4166666666667,"3-6 min","visitante",0,"SEA",1,1,0.810417234251534
2022091200,1,2,8,28,82,"SINGLEBACK","3x1",5.55,"9-12 min","local",4,"rival",0,1,0.746908590870699
2022102309,2,1,10,25,35,"I_FORM","2x1",9.61666666666667,"3-6 min","visitante",3,"SEA",0,1,0.639539316402668
2022102309,3,1,10,36,46,"SINGLEBACK","2x2",5.66666666666667,"9-12 min","visitante",10,"rival",0,0,0.528743451207729
2022102309,1,2,10,35,75,"SHOTGUN","2x2",13.95,"0-3 min","visitante",0,"SEA",0,1,0.651559032703496
2022100906,2,2,4,31,79,"SINGLEBACK","2x2",10.3166666666667,"3-6 min","visitante",0,"SEA",0,0,0.427265118659427
2022110608,3,1,10,37,47,"SINGLEBACK","3x1",7.36666666666667,"6-9 min","visitante",-4,"SEA",0,0,0.419173149624134
2022092511,4,1,10,39,49,"SINGLEBACK","3x1",13.5666666666667,"0-3 min","local",-4,"SEA",0,0,0.495297320507128
2022102309,3,1,6,6,16,"SINGLEBACK","3x1",2.58333333333333,"12-15 min","visitante",10,"rival",1,0,0.367209921950087
2022110608,3,1,10,27,37,"PISTOL","3x1",13.3666666666667,"0-3 min","visitante",3,"SEA",1,1,0.628061292102536
2022103011,1,3,1,38,72,"WILDCAT","4x1",13.7833333333333,"0-3 min","local",0,"SEA",0,1,0.644521353956538
2022100205,3,1,10,48,62,"SHOTGUN","2x2",10.5666666666667,"3-6 min","visitante",16,"SEA",0,0,0.499252844055259
2022110608,1,1,10,35,75,"SINGLEBACK","2x2",14.9,"0-3 min","visitante",0,"SEA",1,0,0.504677906720834
2022100906,4,1,10,25,85,"SINGLEBACK","2x2",5.36666666666667,"9-12 min","visitante",-7,"SEA",0,1,0.609935350617714
2022092511,4,2,7,28,38,"SHOTGUN","3x1",15,"0-3 min","local",-4,"SEA",1,1,0.757965700090655
2022103011,1,1,10,14,96,"SINGLEBACK","2x2",11.2833333333333,"3-6 min","local",0,"SEA",0,0,0.263797853726601
2022100906,3,2,15,39,71,"SHOTGUN","3x1",4.4,"9-12 min","visitante",-5,"rival",1,1,0.812105626808361
2022091200,1,2,6,12,98,"EMPTY","4x1",4.16666666666667,"9-12 min","local",4,"rival",1,1,0.574792042879481
2022091200,3,1,10,20,90,"SINGLEBACK","2x2",3.08333333333333,"9-12 min","local",4,"SEA",1,1,0.566996689273236
2022101609,3,1,10,32,78,"PISTOL","3x1",6.58333333333333,"6-9 min","local",6,"rival",0,0,0.422260135535537
2022110608,1,1,10,25,85,"SINGLEBACK","2x2",6.28333333333333,"6-9 min","visitante",-4,"SEA",1,1,0.553472451084809
2022100906,2,2,10,28,38,"SHOTGUN","3x1",2.26666666666667,"12-15 min","visitante",-7,"rival",1,1,0.779243357458179
2022102309,4,1,10,37,47,"PISTOL","2x2",12.7833333333333,"0-3 min","visitante",11,"SEA",1,0,0.287525653435605
2022102309,2,1,10,27,37,"SHOTGUN","2x2",4.38333333333333,"9-12 min","visitante",3,"SEA",1,1,0.7926822959181
2022091200,3,1,10,46,64,"SHOTGUN","2x2",5.68333333333333,"9-12 min","local",4,"SEA",1,0,0.470917744242659
