"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","gameClock_mod","timeCategory","estadio","nflId_38538","nflId_38629","nflId_39989","nflId_41237","nflId_42589","nflId_43334","nflId_47865","nflId_53063","nflId_53074","nflId_53896","nflId_54534","nflId_43370","nflId_54483","nflId_54628","nflId_46506","nflId_54608","nflId_45280","nflId_47995","nflId_54596","nflId_53482","nflId_39646","nflId_45030","nflId_54551","nflId_46446","nflId_53538","nflId_53068","nflId_42419","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100207,1,1,10,42,52,4.53333333333333,"9-12 min","visitante",1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,"rival",1,0,0.244560373294308
2022102305,3,3,10,25,35,3.45,"9-12 min","local",1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,6,"TEN",1,1,0.846788858958436
2022092507,2,1,10,49,59,0.35,"12-15 min","local",1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,"rival",1,1,0.682872062355194
2022102305,3,3,4,45,55,1.8,"12-15 min","local",1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,6,"TEN",1,1,0.89660282084368
2022100207,3,1,10,25,35,7.35,"6-9 min","visitante",1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,"TEN",1,0,0.164933097024887
2022103004,3,1,10,35,45,12.8333333333333,"0-3 min","visitante",0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,"TEN",0,0,0.0937849674151369
2022091108,2,3,4,5,105,7.11666666666667,"6-9 min","local",1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,"rival",1,1,0.457039295567387
2022103004,4,3,9,49,59,4.91666666666667,"9-12 min","visitante",0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,14,"rival",0,1,0.859139760786211
2022110610,2,1,10,42,68,14.2833333333333,"0-3 min","visitante",0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-9,"TEN",0,0,0.215377330329344
2022091108,3,1,10,10,20,11.1166666666667,"3-6 min","local",1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,"TEN",0,0,0.218669093242403
2022091108,2,3,8,20,30,3.2,"9-12 min","local",1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,"TEN",1,1,0.962717863069539
2022100909,2,2,5,30,80,13.25,"0-3 min","visitante",1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-3,"TEN",0,1,0.631969393921097
2022091108,2,1,10,43,67,14.2333333333333,"0-3 min","local",1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"rival",1,0,0.0706731423624825
2022103004,2,2,11,36,74,8.5,"6-9 min","visitante",0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,-3,"TEN",1,0,0.19329762585732
2022091900,2,2,6,29,81,6.71666666666667,"6-9 min","visitante",1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3,"TEN",0,1,0.824868935291189
2022102305,4,2,6,33,43,5.03333333333333,"9-12 min","local",1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,6,"rival",0,0,0.329844207667289
2022110610,4,1,10,30,80,0.583333333333333,"12-15 min","visitante",0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,"TEN",1,1,0.802194898194026
2022091108,3,2,5,23,87,5.98333333333333,"9-12 min","local",1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rival",1,1,0.448720627462683
2022092507,1,1,10,40,50,0.916666666666667,"12-15 min","local",1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,"TEN",0,0,0.425385114072615
2022100909,2,2,5,24,86,6.18333333333333,"6-9 min","visitante",1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-3,"TEN",0,0,0.409649063818346
2022092507,1,1,10,45,55,13.55,"0-3 min","local",1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"TEN",1,0,0.410058036615715
2022100909,4,4,2,42,68,12.5833333333333,"0-3 min","visitante",1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,4,"rival",0,0,0.227357262489873
