"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100207,1,1,10,42,52,"I_FORM","2x1",4.53333333333333,"9-12 min","visitante",7,"rival",1,0,0.119406614198035
2022102305,3,3,10,25,35,"EMPTY","3x2",3.45,"9-12 min","local",6,"TEN",1,1,0.651784605824344
2022092507,2,1,10,49,59,"EMPTY","3x2",0.35,"12-15 min","local",11,"rival",1,0,0.260220020784046
2022102305,3,3,4,45,55,"SHOTGUN","3x1",1.8,"12-15 min","local",6,"TEN",1,1,0.718379394711785
2022100207,3,1,10,25,35,"I_FORM","2x1",7.35,"6-9 min","visitante",7,"TEN",1,0,0.114756047184926
2022103004,3,1,10,35,45,"I_FORM","2x1",12.8333333333333,"0-3 min","visitante",4,"TEN",0,0,0.0814381068186886
2022091108,2,3,4,5,105,"I_FORM","2x1",7.11666666666667,"6-9 min","local",10,"rival",1,1,0.865838178812218
2022103004,4,3,9,49,59,"SHOTGUN","3x1",4.91666666666667,"9-12 min","visitante",14,"rival",0,1,0.723151983624859
2022110610,2,1,10,42,68,"SINGLEBACK","3x1",14.2833333333333,"0-3 min","visitante",-9,"TEN",0,0,0.283622785112157
2022091108,3,1,10,10,20,"SINGLEBACK","2x2",11.1166666666667,"3-6 min","local",7,"TEN",0,0,0.15124598680856
2022091108,2,3,8,20,30,"SHOTGUN","2x2",3.2,"9-12 min","local",13,"TEN",1,1,0.89611692649446
2022100909,2,2,5,30,80,"SINGLEBACK","3x1",13.25,"0-3 min","visitante",-3,"TEN",0,1,0.538623234435531
2022091108,2,1,10,43,67,"SINGLEBACK","2x2",14.2333333333333,"0-3 min","local",7,"rival",1,0,0.166552684372601
2022103004,2,2,11,36,74,"SHOTGUN","2x2",8.5,"6-9 min","visitante",-3,"TEN",1,0,0.292289133269606
2022091900,2,2,6,29,81,"SINGLEBACK","2x2",6.71666666666667,"6-9 min","visitante",-3,"TEN",0,1,0.784916412389438
2022102305,4,2,6,33,43,"SINGLEBACK","2x2",5.03333333333333,"9-12 min","local",6,"rival",0,0,0.363570845784221
2022110610,4,1,10,30,80,"SHOTGUN","3x1",0.583333333333333,"12-15 min","visitante",0,"TEN",1,1,0.759947868444215
2022091108,3,2,5,23,87,"SINGLEBACK","2x2",5.98333333333333,"9-12 min","local",0,"rival",1,1,0.454086782947805
2022092507,1,1,10,40,50,"SINGLEBACK","3x1",0.916666666666667,"12-15 min","local",4,"TEN",0,0,0.381760828750087
2022100909,2,2,5,24,86,"SHOTGUN","3x1",6.18333333333333,"6-9 min","visitante",-3,"TEN",0,1,0.469847413676916
2022092507,1,1,10,45,55,"SHOTGUN","2x1",13.55,"0-3 min","local",0,"TEN",1,0,0.258424056137853
2022100909,4,4,2,42,68,"SHOTGUN","2x2",12.5833333333333,"0-3 min","visitante",4,"rival",0,1,0.629515041772073
2022100207,4,1,10,42,68,"SINGLEBACK","2x2",7.05,"6-9 min","visitante",7,"TEN",0,0,0.0601796792378318
2022100207,1,2,8,30,40,"SHOTGUN","2x2",10.15,"3-6 min","visitante",0,"rival",1,1,0.914573252930738
2022091900,4,2,10,43,53,"SHOTGUN","2x2",11.5,"3-6 min","visitante",-34,"rival",0,1,0.623458729674368
2022103004,4,1,10,30,40,"SINGLEBACK","3x1",14.3,"0-3 min","visitante",11,"rival",0,0,0.178194719741997
2022110610,3,2,10,34,76,"PISTOL","2x1",11.3666666666667,"3-6 min","visitante",5,"rival",0,0,0.392972686930826
2022110610,1,1,10,18,28,"SHOTGUN","3x1",6.66666666666667,"6-9 min","visitante",-3,"TEN",1,0,0.127964518408898
2022092507,3,1,10,25,85,"I_FORM","2x1",6.95,"6-9 min","local",11,"TEN",0,0,0.146820461986185
2022102305,1,2,3,35,75,"SINGLEBACK","2x2",8.96666666666667,"6-9 min","local",0,"TEN",0,1,0.453079271143084
2022091900,3,2,10,25,35,"SHOTGUN","3x1",3.75,"9-12 min","visitante",-34,"TEN",1,1,0.588097644151831
2022091108,2,2,6,38,72,"EMPTY","3x2",9.48333333333333,"3-6 min","local",10,"rival",1,1,0.553464527401241
2022091108,4,2,9,33,77,"SINGLEBACK","3x1",7.25,"6-9 min","local",7,"TEN",1,1,0.68338132210442
2022103004,1,3,15,37,73,"SHOTGUN","2x2",12.25,"0-3 min","visitante",0,"rival",1,1,0.6906310185324
2022100909,3,3,7,9,19,"SHOTGUN","3x1",2.23333333333333,"12-15 min","visitante",-3,"rival",1,1,0.858059835286819
2022100909,4,3,6,29,39,"SHOTGUN","3x1",5.71666666666667,"9-12 min","visitante",4,"TEN",1,1,0.867501242870607
2022091108,2,1,10,29,39,"I_FORM","2x1",2.55,"12-15 min","local",13,"TEN",0,0,0.233233719626748
2022091108,3,3,2,18,28,"SHOTGUN","3x1",9.73333333333333,"3-6 min","local",7,"TEN",1,1,0.486652913360595
2022100909,2,2,6,17,27,"SINGLEBACK","2x2",1.53333333333333,"12-15 min","visitante",-3,"rival",0,1,0.540128405819804
2022091900,3,2,6,46,56,"SINGLEBACK","3x1",13.6833333333333,"0-3 min","visitante",-10,"TEN",0,0,0.350967902414708
2022103004,2,1,10,38,72,"SHOTGUN","2x2",1.15,"12-15 min","visitante",4,"TEN",1,1,0.507292903323561
2022110610,4,3,8,19,91,"EMPTY","4x1",2.21666666666667,"12-15 min","visitante",0,"TEN",1,1,0.86373842940461
2022091900,3,1,5,30,40,"SINGLEBACK","3x1",7.53333333333333,"6-9 min","visitante",-20,"TEN",0,1,0.42473609604792
2022100207,4,1,10,27,83,"I_FORM","2x1",8.53333333333333,"6-9 min","visitante",7,"TEN",1,0,0.0642492252228212
2022100909,3,1,2,2,12,"WILDCAT","3x2",1.58333333333333,"12-15 min","visitante",-3,"rival",0,0,0.202471332636303
2022103004,2,1,10,37,47,"SINGLEBACK","3x1",5.21666666666667,"9-12 min","visitante",-3,"rival",1,0,0.0736347803071477
2022091108,1,1,10,18,92,"I_FORM","2x1",6.16666666666667,"6-9 min","local",7,"TEN",0,0,0.245980045006321
2022100207,1,1,10,32,42,"I_FORM","2x1",10.7833333333333,"3-6 min","visitante",0,"rival",0,0,0.172620794033274
2022103004,4,3,2,47,57,"SINGLEBACK","3x1",15,"0-3 min","visitante",11,"rival",0,0,0.358230055796964
2022100207,2,2,8,40,70,"SHOTGUN","2x2",11.9666666666667,"3-6 min","visitante",11,"rival",0,1,0.662017167092993
2022092507,2,1,10,13,97,"SHOTGUN","2x2",2.38333333333333,"12-15 min","local",11,"TEN",1,1,0.419404408312752
2022091108,2,3,4,47,63,"SHOTGUN","3x1",1.15,"12-15 min","local",13,"rival",1,1,0.911556100703331
2022092507,1,2,1,35,75,"I_FORM","2x1",11.4666666666667,"3-6 min","local",0,"rival",0,0,0.355437042670498
2022103004,4,2,11,30,80,"I_FORM","2x1",8.48333333333333,"6-9 min","visitante",14,"TEN",0,0,0.362534222639046
2022100207,2,1,2,14,96,"SHOTGUN","3x1",9.05,"3-6 min","visitante",14,"rival",1,0,0.213653687852071
2022100207,3,1,10,24,34,"SINGLEBACK","2x2",14.9166666666667,"0-3 min","visitante",14,"TEN",0,0,0.30762052494376
2022102305,3,1,10,39,49,"SINGLEBACK","3x1",2.95,"12-15 min","local",6,"TEN",0,0,0.0487215706924197
2022102305,1,2,9,27,37,"SINGLEBACK","2x2",6.41666666666667,"6-9 min","local",0,"rival",0,1,0.732306922892897
