"gameId","quarter","down","yardsToGo","yardlineNumber","absoluteYardlineNumber","offenseFormation","receiverAlignment","gameClock_mod","timeCategory","estadio","nflId_41349","nflId_41475","nflId_41939","nflId_43291","nflId_43484","nflId_45012","nflId_47859","nflId_52474","nflId_53480","nflId_53553","nflId_54481","nflId_43722","nflId_44852","nflId_54846","nflId_43445","nflId_53687","nflId_46362","nflId_53511","nflId_41321","nflId_52516","nflId_41563","nflId_47914","nflId_43339","nflId_54614","nflId_54563","nflId_41707","nflId_42831","nflId_54850","nflId_45005","diferencia","yardlineSide_mod","truth","estimate","probabilidades"
2022100204,3,1,10,39,49,"SINGLEBACK","3x1",9.68333333333333,"3-6 min","visitante",1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-5,"WAS",1,1,0.656145272468375
2022103009,3,2,4,31,41,"PISTOL","2x1",14.3333333333333,"0-3 min","visitante",0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,4,"WAS",0,0,0.25633715971884
2022110607,3,2,4,28,38,"SINGLEBACK","2x2",3.9,"9-12 min","local",0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,3,"WAS",0,0,0.0913160418160769
2022102306,4,1,10,44,54,"SHOTGUN","2x2",2.1,"12-15 min","local",0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,2,"rival",0,0,0.636717301670983
2022110607,2,1,10,11,21,"SHOTGUN","2x1",8.33333333333333,"6-9 min","local",1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,-7,"WAS",0,0,0.05121589586975
2022092508,1,2,16,14,96,"SHOTGUN","3x1",9.98333333333333,"3-6 min","local",1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"WAS",1,1,0.921644816656562
2022091802,3,2,9,20,30,"SHOTGUN","2x2",3.06666666666667,"9-12 min","visitante",1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-15,"rival",1,1,0.913911364417302
2022101300,4,3,10,10,20,"SHOTGUN","2x2",15,"0-3 min","visitante",0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,-4,"rival",1,1,0.991162807112108
2022092508,4,4,22,26,36,"SHOTGUN","3x1",9.01666666666667,"3-6 min","local",1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-22,"rival",1,1,0.988296711794963
2022100909,4,1,15,21,89,"SHOTGUN","3x1",9.33333333333333,"3-6 min","local",0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,-4,"WAS",1,1,0.997463959147017
2022102306,4,3,8,39,71,"SHOTGUN","2x2",10.1666666666667,"3-6 min","local",0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,6,"WAS",1,1,0.996821708504147
2022092508,4,4,1,1,11,"SHOTGUN","2x1",14.2333333333333,"0-3 min","local",1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-24,"rival",1,0,0.347056458272676
2022091109,4,1,10,25,85,"SINGLEBACK","2x2",12.0666666666667,"0-3 min","local",0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,"WAS",1,1,0.892336265042013
2022100204,1,3,15,33,43,"SHOTGUN","3x1",3.03333333333333,"9-12 min","visitante",1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-3,"WAS",1,1,0.936682720632119
2022102306,3,1,10,16,94,"SHOTGUN","3x1",1.75,"12-15 min","local",0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,3,"rival",1,0,0.577805645210938
