"equipo","modelo","modelado","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"LA","modelo_1","no_profunda",0.2,0.6,"NA",0.02,10,0.582608695652174,0.677049180327869,0.396774193548387,0.682644628099174,0.688333333333333
"LA","modelo_1","profunda",0.5,0.3,"0.4",0.05,60,0.573913043478261,0.670491803278689,0.383870967741935,0.67603305785124,0.681666666666667
"LA","modelo_2","no_profunda",0.2,0.6,"NA",0.1,20,0.577173913043478,0.672950819672131,0.388709677419355,0.678512396694215,0.684166666666667
"LA","modelo_2","profunda",0.3,0.2,"0.2",0.03,40,0.625,0.709016393442623,0.459677419354839,0.714876033057851,0.720833333333333
"LA","modelo_3","no_profunda",0.2,0.4,"NA",0.01,10,0.709782608695652,0.772950819672131,0.585483870967742,0.779338842975207,0.785833333333333
"LA","modelo_3","profunda",0.6,0.4,"0.6",0.01,10,0.697826086956522,0.763934426229508,0.567741935483871,0.770247933884297,0.776666666666667
"LA","modelo_4","no_profunda",0.3,0.5,"NA",0.03,10,0.697826086956522,0.763934426229508,0.567741935483871,0.770247933884298,0.776666666666667
"LA","modelo_4","profunda",0.2,0.4,"0.4",0.05,20,0.673913043478261,0.745901639344262,0.532258064516129,0.752066115702479,0.758333333333333
"ATL","modelo_1","no_profunda",0.3,0.4,"NA",0.1,60,0.601980198019802,0.540425531914894,0.655555555555556,0.558241758241758,0.577272727272727
"ATL","modelo_1","profunda",0.2,0.2,"0.6",0.06,40,0.613861386138614,0.553191489361702,0.666666666666667,0.571428571428571,0.590909090909091
"ATL","modelo_2","no_profunda",0.5,0.6,"NA",0.02,20,0.644554455445545,0.586170212765957,0.69537037037037,0.605494505494506,0.626136363636364
"ATL","modelo_2","profunda",0.2,0.3,"0.4",0.05,20,0.598019801980198,0.536170212765957,0.651851851851852,0.553846153846154,0.572727272727273
"ATL","modelo_3","no_profunda",0.2,0.4,"NA",0.03,10,0.676237623762376,0.620212765957447,0.725,0.640659340659341,0.6625
"ATL","modelo_3","profunda",0.2,0.2,"0.6",0.06,40,0.627722772277228,0.568085106382979,0.67962962962963,0.586813186813187,0.606818181818182
"ATL","modelo_4","no_profunda",0.2,0.4,"NA",0.03,10,0.725742574257426,0.673404255319149,0.771296296296296,0.695604395604396,0.719318181818182
"ATL","modelo_4","profunda",0.2,0.3,"0.4",0.05,20,0.691089108910891,0.636170212765957,0.738888888888889,0.657142857142857,0.679545454545455
"CAR","modelo_1","no_profunda",0.3,0.5,"NA",0.01,10,0.526373626373626,0.619444444444444,0.390540540540541,0.608181818181818,0.597321428571429
"CAR","modelo_1","profunda",0.6,0.5,"0.2",0.03,60,0.515384615384615,0.610185185185185,0.377027027027027,0.599090909090909,0.588392857142857
"CAR","modelo_2","no_profunda",0.6,0.3,"NA",0.01,10,0.589010989010989,0.672222222222222,0.467567567567568,0.66,0.648214285714286
"CAR","modelo_2","profunda",0.2,0.2,"0.5",0.02,10,0.578021978021978,0.662962962962963,0.454054054054054,0.650909090909091,0.639285714285714
"CAR","modelo_3","no_profunda",0.6,0.2,"NA",0.02,10,0.635164835164835,0.711111111111111,0.524324324324324,0.698181818181818,0.685714285714286
"CAR","modelo_3","profunda",0.3,0.5,"0.4",0.01,10,0.626373626373626,0.703703703703704,0.513513513513513,0.690909090909091,0.678571428571429
"CAR","modelo_4","no_profunda",0.2,0.6,"NA",0.01,20,0.676923076923077,0.746296296296296,0.575675675675676,0.732727272727273,0.719642857142857
"CAR","modelo_4","profunda",0.2,0.6,"0.3",0.02,10,0.665934065934066,0.737037037037037,0.562162162162162,0.723636363636364,0.710714285714286
"CHI","modelo_1","no_profunda",0.3,0.6,"NA",0.06,60,0.60990099009901,0.608163265306122,0.611538461538461,0.602020202020202,0.596
"CHI","modelo_1","profunda",0.2,0.5,"0.3",0.05,40,0.595049504950495,0.592857142857143,0.597115384615385,0.586868686868687,0.581
"CHI","modelo_2","no_profunda",0.5,0.5,"NA",0.1,20,0.530693069306931,0.526530612244898,0.534615384615385,0.521212121212121,0.516
"CHI","modelo_2","profunda",0.5,0.4,"0.4",0.01,10,0.631683168316832,0.630612244897959,0.632692307692308,0.624242424242424,0.618
"CHI","modelo_3","no_profunda",0.3,0.4,"NA",0.05,20,0.665346534653465,0.66530612244898,0.665384615384615,0.658585858585859,0.652
"CHI","modelo_3","profunda",0.5,0.3,"0.5",0.03,20,0.671287128712871,0.671428571428571,0.671153846153846,0.664646464646465,0.658
"CHI","modelo_4","no_profunda",0.2,0.5,"NA",0.06,10,0.687128712871287,0.687755102040816,0.686538461538462,0.680808080808081,0.674
"CHI","modelo_4","profunda",0.6,0.4,"0.6",0.03,40,0.667326732673267,0.66734693877551,0.667307692307692,0.660606060606061,0.654
"CIN","modelo_1","no_profunda",0.2,0.3,"NA",0.02,20,0.651851851851852,0.742253521126761,0.478378378378378,0.737062937062937,0.731944444444445
"CIN","modelo_1","profunda",0.2,0.6,"0.2",0.03,20,0.641666666666667,0.734507042253521,0.463513513513514,0.729370629370629,0.724305555555556
"CIN","modelo_2","no_profunda",0.6,0.5,"NA",0.03,60,0.722222222222222,0.795774647887324,0.581081081081081,0.79020979020979,0.784722222222222
"CIN","modelo_2","profunda",0.4,0.2,"0.6",0.01,10,0.72037037037037,0.794366197183099,0.578378378378378,0.788811188811189,0.783333333333333
"CIN","modelo_3","no_profunda",0.2,0.3,"NA",0.03,20,0.82037037037037,0.870422535211268,0.724324324324324,0.864335664335664,0.858333333333333
"CIN","modelo_3","profunda",0.3,0.6,"0.6",0.03,60,0.780555555555556,0.840140845070423,0.666216216216216,0.834265734265734,0.828472222222222
"CIN","modelo_4","no_profunda",0.3,0.6,"NA",0.01,20,0.79537037037037,0.851408450704225,0.687837837837838,0.845454545454545,0.839583333333333
"CIN","modelo_4","profunda",0.6,0.4,"0.4",0.03,60,0.793518518518519,0.85,0.685135135135135,0.844055944055944,0.838194444444444
"DET","modelo_1","no_profunda",0.4,0.2,"NA",0.02,20,0.61063829787234,0.664285714285714,0.531578947368421,0.67027027027027,0.676363636363636
"DET","modelo_1","profunda",0.6,0.6,"0.5",0.05,40,0.54468085106383,0.608928571428571,0.45,0.614414414414414,0.62
"DET","modelo_2","no_profunda",0.2,0.5,"NA",0.06,20,0.624468085106383,0.675892857142857,0.548684210526316,0.681981981981982,0.688181818181818
"DET","modelo_2","profunda",0.4,0.4,"0.6",0.01,10,0.673404255319149,0.716964285714286,0.60921052631579,0.723423423423423,0.73
"DET","modelo_3","no_profunda",0.2,0.5,"NA",0.03,10,0.695744680851064,0.735714285714286,0.636842105263158,0.742342342342342,0.749090909090909
"DET","modelo_3","profunda",0.2,0.3,"0.2",0.05,10,0.620212765957447,0.672321428571429,0.543421052631579,0.678378378378378,0.684545454545455
"DET","modelo_4","no_profunda",0.2,0.4,"NA",0.1,20,0.69468085106383,0.734821428571429,0.635526315789474,0.741441441441441,0.748181818181818
"DET","modelo_4","profunda",0.3,0.3,"0.4",0.05,10,0.703191489361702,0.741964285714286,0.646052631578947,0.748648648648649,0.755454545454545
"HOU","modelo_1","no_profunda",0.2,0.4,"NA",0.06,20,0.564705882352941,0.653846153846154,0.424242424242424,0.647619047619048,0.641509433962264
"HOU","modelo_1","profunda",0.2,0.4,"0.6",0.03,10,0.56,0.65,0.418181818181818,0.643809523809524,0.637735849056604
"HOU","modelo_2","no_profunda",0.3,0.3,"NA",0.1,60,0.627058823529412,0.704807692307692,0.504545454545455,0.698095238095238,0.691509433962264
"HOU","modelo_2","profunda",0.5,0.3,"0.6",0.02,10,0.644705882352941,0.719230769230769,0.527272727272727,0.712380952380952,0.705660377358491
"HOU","modelo_3","no_profunda",0.4,0.6,"NA",0.03,20,0.734117647058824,0.792307692307692,0.642424242424242,0.784761904761905,0.777358490566038
"HOU","modelo_3","profunda",0.2,0.4,"0.5",0.03,20,0.730588235294118,0.789423076923077,0.637878787878788,0.781904761904762,0.774528301886792
"HOU","modelo_4","no_profunda",0.4,0.2,"NA",0.01,10,0.703529411764706,0.767307692307692,0.603030303030303,0.76,0.752830188679245
"HOU","modelo_4","profunda",0.4,0.3,"0.3",0.05,60,0.696470588235294,0.761538461538461,0.593939393939394,0.754285714285714,0.747169811320755
"MIA","modelo_1","no_profunda",0.2,0.2,"NA",0.06,40,0.636274509803922,0.738059701492537,0.441428571428571,0.727205882352941,0.716666666666667
"MIA","modelo_1","profunda",0.2,0.5,"0.6",0.05,40,0.612745098039216,0.720149253731343,0.407142857142857,0.709558823529412,0.699275362318841
