"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","DEN","modelo_4","no_profunda",4170,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"2","DEN","modelo_4","no_profunda",3951,0.3,0.5,NA,0.01,10,0.625,0.733333333333333,0.444444444444444,0.709677419354839,0.6875
"3","DEN","modelo_4","no_profunda",5491,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"4","DEN","modelo_4","no_profunda",1762,0.3,0.5,NA,0.01,10,0.729166666666667,0.816666666666667,0.583333333333333,0.790322580645161,0.765625
"5","DEN","modelo_4","no_profunda",3409,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"6","DEN","modelo_4","no_profunda",3980,0.3,0.5,NA,0.01,10,0.708333333333333,0.8,0.555555555555556,0.774193548387097,0.75
"7","DEN","modelo_4","no_profunda",1383,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"8","DEN","modelo_4","no_profunda",768,0.3,0.5,NA,0.01,10,0.6875,0.783333333333333,0.527777777777778,0.758064516129032,0.734375
"9","DEN","modelo_4","no_profunda",1058,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"10","DEN","modelo_4","no_profunda",8585,0.3,0.5,NA,0.01,10,0.6875,0.783333333333333,0.527777777777778,0.758064516129032,0.734375
"11","DEN","modelo_4","no_profunda",564,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"12","DEN","modelo_4","no_profunda",2478,0.3,0.5,NA,0.01,10,0.708333333333333,0.8,0.555555555555556,0.774193548387097,0.75
"13","DEN","modelo_4","no_profunda",9481,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"14","DEN","modelo_4","no_profunda",5701,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"15","DEN","modelo_4","no_profunda",8455,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"16","DEN","modelo_4","no_profunda",6401,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"17","DEN","modelo_4","no_profunda",3291,0.3,0.5,NA,0.01,10,0.625,0.733333333333333,0.444444444444444,0.709677419354839,0.6875
"18","DEN","modelo_4","no_profunda",9579,0.3,0.5,NA,0.01,10,0.666666666666667,0.766666666666667,0.5,0.741935483870968,0.71875
"19","DEN","modelo_4","no_profunda",1438,0.3,0.5,NA,0.01,10,0.645833333333333,0.75,0.472222222222222,0.725806451612903,0.703125
"20","DEN","modelo_4","no_profunda",3142,0.3,0.5,NA,0.01,10,0.729166666666667,0.816666666666667,0.583333333333333,0.790322580645161,0.765625
