"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","MIA","modelo_3","no_profunda",4170,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"2","MIA","modelo_3","no_profunda",3951,0.2,0.4,NA,0.02,10,0.705882352941177,0.791044776119403,0.542857142857143,0.779411764705882,0.768115942028985
"3","MIA","modelo_3","no_profunda",5491,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"4","MIA","modelo_3","no_profunda",1762,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"5","MIA","modelo_3","no_profunda",3409,0.2,0.4,NA,0.02,10,0.705882352941177,0.791044776119403,0.542857142857143,0.779411764705882,0.768115942028985
"6","MIA","modelo_3","no_profunda",3980,0.2,0.4,NA,0.02,10,0.705882352941177,0.791044776119403,0.542857142857143,0.779411764705882,0.768115942028985
"7","MIA","modelo_3","no_profunda",1383,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"8","MIA","modelo_3","no_profunda",768,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"9","MIA","modelo_3","no_profunda",1058,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"10","MIA","modelo_3","no_profunda",8585,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"11","MIA","modelo_3","no_profunda",564,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"12","MIA","modelo_3","no_profunda",2478,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"13","MIA","modelo_3","no_profunda",9481,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"14","MIA","modelo_3","no_profunda",5701,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"15","MIA","modelo_3","no_profunda",8455,0.2,0.4,NA,0.02,10,0.705882352941177,0.791044776119403,0.542857142857143,0.779411764705882,0.768115942028985
"16","MIA","modelo_3","no_profunda",6401,0.2,0.4,NA,0.02,10,0.686274509803922,0.776119402985075,0.514285714285714,0.764705882352941,0.753623188405797
"17","MIA","modelo_3","no_profunda",3291,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"18","MIA","modelo_3","no_profunda",9579,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
"19","MIA","modelo_3","no_profunda",1438,0.2,0.4,NA,0.02,10,0.705882352941177,0.791044776119403,0.542857142857143,0.779411764705882,0.768115942028985
"20","MIA","modelo_3","no_profunda",3142,0.2,0.4,NA,0.02,10,0.666666666666667,0.761194029850746,0.485714285714286,0.75,0.739130434782609
