"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","MIN","modelo_2","no_profunda",4170,0.5,0.4,NA,0.02,20,0.684210526315789,0.754098360655738,0.558823529411765,0.754098360655738,0.754098360655738
"2","MIN","modelo_2","no_profunda",3951,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"3","MIN","modelo_2","no_profunda",5491,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
"4","MIN","modelo_2","no_profunda",1762,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"5","MIN","modelo_2","no_profunda",3409,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
"6","MIN","modelo_2","no_profunda",3980,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"7","MIN","modelo_2","no_profunda",1383,0.5,0.4,NA,0.02,20,0.6,0.688524590163934,0.441176470588235,0.688524590163934,0.688524590163934
"8","MIN","modelo_2","no_profunda",768,0.5,0.4,NA,0.02,20,0.684210526315789,0.754098360655738,0.558823529411765,0.754098360655738,0.754098360655738
"9","MIN","modelo_2","no_profunda",1058,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"10","MIN","modelo_2","no_profunda",8585,0.5,0.4,NA,0.02,20,0.684210526315789,0.754098360655738,0.558823529411765,0.754098360655738,0.754098360655738
"11","MIN","modelo_2","no_profunda",564,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
"12","MIN","modelo_2","no_profunda",2478,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"13","MIN","modelo_2","no_profunda",9481,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"14","MIN","modelo_2","no_profunda",5701,0.5,0.4,NA,0.02,20,0.642105263157895,0.721311475409836,0.5,0.721311475409836,0.721311475409836
"15","MIN","modelo_2","no_profunda",8455,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
"16","MIN","modelo_2","no_profunda",6401,0.5,0.4,NA,0.02,20,0.684210526315789,0.754098360655738,0.558823529411765,0.754098360655738,0.754098360655738
"17","MIN","modelo_2","no_profunda",3291,0.5,0.4,NA,0.02,20,0.684210526315789,0.754098360655738,0.558823529411765,0.754098360655738,0.754098360655738
"18","MIN","modelo_2","no_profunda",9579,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
"19","MIN","modelo_2","no_profunda",1438,0.5,0.4,NA,0.02,20,0.663157894736842,0.737704918032787,0.529411764705882,0.737704918032787,0.737704918032787
"20","MIN","modelo_2","no_profunda",3142,0.5,0.4,NA,0.02,20,0.621052631578947,0.704918032786885,0.470588235294118,0.704918032786885,0.704918032786885
