"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","NYG","modelo_4","profunda",4170,0.6,0.3,0.2,0.03,20,0.695652173913043,0.711538461538462,0.675,0.725490196078431,0.74
"2","NYG","modelo_4","profunda",3951,0.6,0.3,0.2,0.03,20,0.717391304347826,0.730769230769231,0.7,0.745098039215686,0.76
"3","NYG","modelo_4","profunda",5491,0.6,0.3,0.2,0.03,20,0.760869565217391,0.769230769230769,0.75,0.784313725490196,0.8
"4","NYG","modelo_4","profunda",1762,0.6,0.3,0.2,0.03,20,0.782608695652174,0.788461538461538,0.775,0.803921568627451,0.82
"5","NYG","modelo_4","profunda",3409,0.6,0.3,0.2,0.03,20,0.652173913043478,0.673076923076923,0.625,0.686274509803922,0.7
"6","NYG","modelo_4","profunda",3980,0.6,0.3,0.2,0.03,20,0.739130434782609,0.75,0.725,0.764705882352941,0.78
"7","NYG","modelo_4","profunda",1383,0.6,0.3,0.2,0.03,20,0.782608695652174,0.788461538461538,0.775,0.803921568627451,0.82
"8","NYG","modelo_4","profunda",768,0.6,0.3,0.2,0.03,20,0.760869565217391,0.769230769230769,0.75,0.784313725490196,0.8
"9","NYG","modelo_4","profunda",1058,0.6,0.3,0.2,0.03,20,0.739130434782609,0.75,0.725,0.764705882352941,0.78
"10","NYG","modelo_4","profunda",8585,0.6,0.3,0.2,0.03,20,0.717391304347826,0.730769230769231,0.7,0.745098039215686,0.76
"11","NYG","modelo_4","profunda",564,0.6,0.3,0.2,0.03,20,0.739130434782609,0.75,0.725,0.764705882352941,0.78
"12","NYG","modelo_4","profunda",2478,0.6,0.3,0.2,0.03,20,0.717391304347826,0.730769230769231,0.7,0.745098039215686,0.76
"13","NYG","modelo_4","profunda",9481,0.6,0.3,0.2,0.03,20,0.695652173913043,0.711538461538462,0.675,0.725490196078431,0.74
"14","NYG","modelo_4","profunda",5701,0.6,0.3,0.2,0.03,20,0.695652173913043,0.711538461538462,0.675,0.725490196078431,0.74
"15","NYG","modelo_4","profunda",8455,0.6,0.3,0.2,0.03,20,0.608695652173913,0.634615384615385,0.575,0.647058823529412,0.66
"16","NYG","modelo_4","profunda",6401,0.6,0.3,0.2,0.03,20,0.695652173913043,0.711538461538462,0.675,0.725490196078431,0.74
"17","NYG","modelo_4","profunda",3291,0.6,0.3,0.2,0.03,20,0.695652173913043,0.711538461538462,0.675,0.725490196078431,0.74
"18","NYG","modelo_4","profunda",9579,0.6,0.3,0.2,0.03,20,0.739130434782609,0.75,0.725,0.764705882352941,0.78
"19","NYG","modelo_4","profunda",1438,0.6,0.3,0.2,0.03,20,0.717391304347826,0.730769230769231,0.7,0.745098039215686,0.76
"20","NYG","modelo_4","profunda",3142,0.6,0.3,0.2,0.03,20,0.760869565217391,0.769230769230769,0.75,0.784313725490196,0.8
