"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","PHI","modelo_3","no_profunda",4170,0.2,0.4,NA,0.01,10,0.636363636363636,0.685185185185185,0.577777777777778,0.672727272727273,0.660714285714286
"2","PHI","modelo_3","no_profunda",3951,0.2,0.4,NA,0.01,10,0.656565656565657,0.703703703703704,0.6,0.690909090909091,0.678571428571429
"3","PHI","modelo_3","no_profunda",5491,0.2,0.4,NA,0.01,10,0.636363636363636,0.685185185185185,0.577777777777778,0.672727272727273,0.660714285714286
"4","PHI","modelo_3","no_profunda",1762,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
"5","PHI","modelo_3","no_profunda",3409,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
"6","PHI","modelo_3","no_profunda",3980,0.2,0.4,NA,0.01,10,0.696969696969697,0.740740740740741,0.644444444444444,0.727272727272727,0.714285714285714
"7","PHI","modelo_3","no_profunda",1383,0.2,0.4,NA,0.01,10,0.636363636363636,0.685185185185185,0.577777777777778,0.672727272727273,0.660714285714286
"8","PHI","modelo_3","no_profunda",768,0.2,0.4,NA,0.01,10,0.656565656565657,0.703703703703704,0.6,0.690909090909091,0.678571428571429
"9","PHI","modelo_3","no_profunda",1058,0.2,0.4,NA,0.01,10,0.696969696969697,0.740740740740741,0.644444444444444,0.727272727272727,0.714285714285714
"10","PHI","modelo_3","no_profunda",8585,0.2,0.4,NA,0.01,10,0.636363636363636,0.685185185185185,0.577777777777778,0.672727272727273,0.660714285714286
"11","PHI","modelo_3","no_profunda",564,0.2,0.4,NA,0.01,10,0.595959595959596,0.648148148148148,0.533333333333333,0.636363636363636,0.625
"12","PHI","modelo_3","no_profunda",2478,0.2,0.4,NA,0.01,10,0.616161616161616,0.666666666666667,0.555555555555556,0.654545454545455,0.642857142857143
"13","PHI","modelo_3","no_profunda",9481,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
"14","PHI","modelo_3","no_profunda",5701,0.2,0.4,NA,0.01,10,0.616161616161616,0.666666666666667,0.555555555555556,0.654545454545455,0.642857142857143
"15","PHI","modelo_3","no_profunda",8455,0.2,0.4,NA,0.01,10,0.696969696969697,0.740740740740741,0.644444444444444,0.727272727272727,0.714285714285714
"16","PHI","modelo_3","no_profunda",6401,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
"17","PHI","modelo_3","no_profunda",3291,0.2,0.4,NA,0.01,10,0.717171717171717,0.759259259259259,0.666666666666667,0.745454545454545,0.732142857142857
"18","PHI","modelo_3","no_profunda",9579,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
"19","PHI","modelo_3","no_profunda",1438,0.2,0.4,NA,0.01,10,0.636363636363636,0.685185185185185,0.577777777777778,0.672727272727273,0.660714285714286
"20","PHI","modelo_3","no_profunda",3142,0.2,0.4,NA,0.01,10,0.676767676767677,0.722222222222222,0.622222222222222,0.709090909090909,0.696428571428571
