"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","SF","modelo_2","profunda",4170,0.2,0.4,0.6,0.03,60,0.677777777777778,0.745098039215686,0.58974358974359,0.723809523809524,0.703703703703704
"2","SF","modelo_2","profunda",3951,0.2,0.4,0.6,0.03,60,0.655555555555556,0.725490196078431,0.564102564102564,0.704761904761905,0.685185185185185
"3","SF","modelo_2","profunda",5491,0.2,0.4,0.6,0.03,60,0.655555555555556,0.725490196078431,0.564102564102564,0.704761904761905,0.685185185185185
"4","SF","modelo_2","profunda",1762,0.2,0.4,0.6,0.03,60,0.611111111111111,0.686274509803922,0.512820512820513,0.666666666666667,0.648148148148148
"5","SF","modelo_2","profunda",3409,0.2,0.4,0.6,0.03,60,0.588888888888889,0.666666666666667,0.487179487179487,0.647619047619048,0.62962962962963
"6","SF","modelo_2","profunda",3980,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"7","SF","modelo_2","profunda",1383,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"8","SF","modelo_2","profunda",768,0.2,0.4,0.6,0.03,60,0.611111111111111,0.686274509803922,0.512820512820513,0.666666666666667,0.648148148148148
"9","SF","modelo_2","profunda",1058,0.2,0.4,0.6,0.03,60,0.677777777777778,0.745098039215686,0.58974358974359,0.723809523809524,0.703703703703704
"10","SF","modelo_2","profunda",8585,0.2,0.4,0.6,0.03,60,0.677777777777778,0.745098039215686,0.58974358974359,0.723809523809524,0.703703703703704
"11","SF","modelo_2","profunda",564,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"12","SF","modelo_2","profunda",2478,0.2,0.4,0.6,0.03,60,0.722222222222222,0.784313725490196,0.641025641025641,0.761904761904762,0.740740740740741
"13","SF","modelo_2","profunda",9481,0.2,0.4,0.6,0.03,60,0.677777777777778,0.745098039215686,0.58974358974359,0.723809523809524,0.703703703703704
"14","SF","modelo_2","profunda",5701,0.2,0.4,0.6,0.03,60,0.655555555555556,0.725490196078431,0.564102564102564,0.704761904761905,0.685185185185185
"15","SF","modelo_2","profunda",8455,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"16","SF","modelo_2","profunda",6401,0.2,0.4,0.6,0.03,60,0.677777777777778,0.745098039215686,0.58974358974359,0.723809523809524,0.703703703703704
"17","SF","modelo_2","profunda",3291,0.2,0.4,0.6,0.03,60,0.544444444444444,0.627450980392157,0.435897435897436,0.60952380952381,0.592592592592593
"18","SF","modelo_2","profunda",9579,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"19","SF","modelo_2","profunda",1438,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
"20","SF","modelo_2","profunda",3142,0.2,0.4,0.6,0.03,60,0.7,0.764705882352941,0.615384615384615,0.742857142857143,0.722222222222222
