"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","TB","modelo_4","no_profunda",4170,0.3,0.2,NA,0.02,10,0.727272727272727,0.818181818181818,0.515151515151515,0.807692307692308,0.79746835443038
"2","TB","modelo_4","no_profunda",3951,0.3,0.2,NA,0.02,10,0.763636363636364,0.844155844155844,0.575757575757576,0.833333333333333,0.822784810126582
"3","TB","modelo_4","no_profunda",5491,0.3,0.2,NA,0.02,10,0.763636363636364,0.844155844155844,0.575757575757576,0.833333333333333,0.822784810126582
"4","TB","modelo_4","no_profunda",1762,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"5","TB","modelo_4","no_profunda",3409,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"6","TB","modelo_4","no_profunda",3980,0.3,0.2,NA,0.02,10,0.781818181818182,0.857142857142857,0.606060606060606,0.846153846153846,0.835443037974684
"7","TB","modelo_4","no_profunda",1383,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"8","TB","modelo_4","no_profunda",768,0.3,0.2,NA,0.02,10,0.763636363636364,0.844155844155844,0.575757575757576,0.833333333333333,0.822784810126582
"9","TB","modelo_4","no_profunda",1058,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"10","TB","modelo_4","no_profunda",8585,0.3,0.2,NA,0.02,10,0.763636363636364,0.844155844155844,0.575757575757576,0.833333333333333,0.822784810126582
"11","TB","modelo_4","no_profunda",564,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"12","TB","modelo_4","no_profunda",2478,0.3,0.2,NA,0.02,10,0.727272727272727,0.818181818181818,0.515151515151515,0.807692307692308,0.79746835443038
"13","TB","modelo_4","no_profunda",9481,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"14","TB","modelo_4","no_profunda",5701,0.3,0.2,NA,0.02,10,0.727272727272727,0.818181818181818,0.515151515151515,0.807692307692308,0.79746835443038
"15","TB","modelo_4","no_profunda",8455,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"16","TB","modelo_4","no_profunda",6401,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"17","TB","modelo_4","no_profunda",3291,0.3,0.2,NA,0.02,10,0.781818181818182,0.857142857142857,0.606060606060606,0.846153846153846,0.835443037974684
"18","TB","modelo_4","no_profunda",9579,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
"19","TB","modelo_4","no_profunda",1438,0.3,0.2,NA,0.02,10,0.781818181818182,0.857142857142857,0.606060606060606,0.846153846153846,0.835443037974684
"20","TB","modelo_4","no_profunda",3142,0.3,0.2,NA,0.02,10,0.745454545454545,0.831168831168831,0.545454545454545,0.82051282051282,0.810126582278481
