"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","TEN","modelo_3","no_profunda",4170,0.2,0.3,NA,0.05,20,0.682926829268293,0.605263157894737,0.75,0.638888888888889,0.676470588235294
"2","TEN","modelo_3","no_profunda",3951,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"3","TEN","modelo_3","no_profunda",5491,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
"4","TEN","modelo_3","no_profunda",1762,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"5","TEN","modelo_3","no_profunda",3409,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
"6","TEN","modelo_3","no_profunda",3980,0.2,0.3,NA,0.05,20,0.609756097560976,0.526315789473684,0.681818181818182,0.555555555555555,0.588235294117647
"7","TEN","modelo_3","no_profunda",1383,0.2,0.3,NA,0.05,20,0.609756097560976,0.526315789473684,0.681818181818182,0.555555555555555,0.588235294117647
"8","TEN","modelo_3","no_profunda",768,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"9","TEN","modelo_3","no_profunda",1058,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"10","TEN","modelo_3","no_profunda",8585,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
"11","TEN","modelo_3","no_profunda",564,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"12","TEN","modelo_3","no_profunda",2478,0.2,0.3,NA,0.05,20,0.585365853658537,0.5,0.659090909090909,0.527777777777778,0.558823529411765
"13","TEN","modelo_3","no_profunda",9481,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"14","TEN","modelo_3","no_profunda",5701,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
"15","TEN","modelo_3","no_profunda",8455,0.2,0.3,NA,0.05,20,0.585365853658537,0.5,0.659090909090909,0.527777777777778,0.558823529411765
"16","TEN","modelo_3","no_profunda",6401,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
"17","TEN","modelo_3","no_profunda",3291,0.2,0.3,NA,0.05,20,0.585365853658537,0.5,0.659090909090909,0.527777777777778,0.558823529411765
"18","TEN","modelo_3","no_profunda",9579,0.2,0.3,NA,0.05,20,0.609756097560976,0.526315789473684,0.681818181818182,0.555555555555555,0.588235294117647
"19","TEN","modelo_3","no_profunda",1438,0.2,0.3,NA,0.05,20,0.634146341463415,0.552631578947368,0.704545454545455,0.583333333333333,0.617647058823529
"20","TEN","modelo_3","no_profunda",3142,0.2,0.3,NA,0.05,20,0.658536585365854,0.578947368421053,0.727272727272727,0.611111111111111,0.647058823529412
