"","equipo","modelo","modelado","semilla","gota1","gota2","gota3","lerner","epocas","exactitud","precision","precision_secundaria","f1","recall"
"1","WAS","modelo_3","profunda",4170,0.3,0.3,0.3,0.01,60,0.732142857142857,0.788732394366197,0.634146341463415,0.788732394366197,0.788732394366197
"2","WAS","modelo_3","profunda",3951,0.3,0.3,0.3,0.01,60,0.767857142857143,0.816901408450704,0.682926829268293,0.816901408450704,0.816901408450704
"3","WAS","modelo_3","profunda",5491,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"4","WAS","modelo_3","profunda",1762,0.3,0.3,0.3,0.01,60,0.732142857142857,0.788732394366197,0.634146341463415,0.788732394366197,0.788732394366197
"5","WAS","modelo_3","profunda",3409,0.3,0.3,0.3,0.01,60,0.696428571428571,0.76056338028169,0.585365853658537,0.76056338028169,0.76056338028169
"6","WAS","modelo_3","profunda",3980,0.3,0.3,0.3,0.01,60,0.732142857142857,0.788732394366197,0.634146341463415,0.788732394366197,0.788732394366197
"7","WAS","modelo_3","profunda",1383,0.3,0.3,0.3,0.01,60,0.660714285714286,0.732394366197183,0.536585365853659,0.732394366197183,0.732394366197183
"8","WAS","modelo_3","profunda",768,0.3,0.3,0.3,0.01,60,0.767857142857143,0.816901408450704,0.682926829268293,0.816901408450704,0.816901408450704
"9","WAS","modelo_3","profunda",1058,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"10","WAS","modelo_3","profunda",8585,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"11","WAS","modelo_3","profunda",564,0.3,0.3,0.3,0.01,60,0.785714285714286,0.830985915492958,0.707317073170732,0.830985915492958,0.830985915492958
"12","WAS","modelo_3","profunda",2478,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"13","WAS","modelo_3","profunda",9481,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"14","WAS","modelo_3","profunda",5701,0.3,0.3,0.3,0.01,60,0.803571428571429,0.845070422535211,0.731707317073171,0.845070422535211,0.845070422535211
"15","WAS","modelo_3","profunda",8455,0.3,0.3,0.3,0.01,60,0.785714285714286,0.830985915492958,0.707317073170732,0.830985915492958,0.830985915492958
"16","WAS","modelo_3","profunda",6401,0.3,0.3,0.3,0.01,60,0.732142857142857,0.788732394366197,0.634146341463415,0.788732394366197,0.788732394366197
"17","WAS","modelo_3","profunda",3291,0.3,0.3,0.3,0.01,60,0.803571428571429,0.845070422535211,0.731707317073171,0.845070422535211,0.845070422535211
"18","WAS","modelo_3","profunda",9579,0.3,0.3,0.3,0.01,60,0.767857142857143,0.816901408450704,0.682926829268293,0.816901408450704,0.816901408450704
"19","WAS","modelo_3","profunda",1438,0.3,0.3,0.3,0.01,60,0.75,0.802816901408451,0.658536585365854,0.802816901408451,0.802816901408451
"20","WAS","modelo_3","profunda",3142,0.3,0.3,0.3,0.01,60,0.714285714285714,0.774647887323944,0.609756097560976,0.774647887323944,0.774647887323944
