"Comparison","bonferroni","holm","bh","equipo"
"no_profunda_modelo_1 - no_profunda_modelo_2",0.214840210634432,0.0767286466551543,0.0113073795070754,"CIN"
"no_profunda_modelo_1 - no_profunda_modelo_3",1.15518362320424e-13,1.11392706523266e-13,5.77591811602121e-14,"CIN"
"no_profunda_modelo_2 - no_profunda_modelo_3",6.05117972975771e-06,4.10615767376416e-06,6.05117972975771e-07,"CIN"
"no_profunda_modelo_1 - no_profunda_modelo_4",4.4067244979169e-09,3.77719242678591e-09,8.8134489958338e-10,"CIN"
"no_profunda_modelo_2 - no_profunda_modelo_4",0.0053210405308848,0.00304059458907703,0.000409310810068062,"CIN"
"no_profunda_modelo_3 - no_profunda_modelo_4",1,0.877326114724663,0.178008197190511,"CIN"
"no_profunda_modelo_1 - profunda_modelo_1",1,1,0.830126295235723,"CIN"
"no_profunda_modelo_2 - profunda_modelo_1",0.0868621225943188,0.0403288426330766,0.00542888266214493,"CIN"
"no_profunda_modelo_3 - profunda_modelo_1",1.08560587291461e-14,1.08560587291461e-14,1.08560587291461e-14,"CIN"
"no_profunda_modelo_4 - profunda_modelo_1",6.2775204071795e-10,5.82912609238097e-10,2.09250680239317e-10,"CIN"
"no_profunda_modelo_1 - profunda_modelo_2",0.349494927721542,0.112337655339067,0.0174747463860771,"CIN"
"no_profunda_modelo_2 - profunda_modelo_2",1,1,0.898745373195529,"CIN"
"no_profunda_modelo_3 - profunda_modelo_2",2.42445102271538e-06,1.73175073051098e-06,2.69383446968375e-07,"CIN"
"no_profunda_modelo_4 - profunda_modelo_2",0.00269535825616608,0.00173273030753534,0.000245032568742371,"CIN"
"profunda_modelo_1 - profunda_modelo_2",0.147808417483126,0.0580675925826566,0.00821157874906255,"CIN"
"no_profunda_modelo_1 - profunda_modelo_3",1.21674300590679e-06,9.12557254430094e-07,1.52092875738349e-07,"CIN"
"no_profunda_modelo_2 - profunda_modelo_3",0.138687661587622,0.0594375692518381,0.00815809774044837,"CIN"
"no_profunda_modelo_3 - profunda_modelo_3",0.491572127126408,0.140449179178974,0.023408196529829,"CIN"
"no_profunda_modelo_4 - profunda_modelo_3",1,1,0.416048112002608,"CIN"
"profunda_modelo_1 - profunda_modelo_3",2.25290975620424e-07,1.77014337987476e-07,3.2184425088632e-08,"CIN"
"profunda_modelo_2 - profunda_modelo_3",0.0812421017033229,0.0406210508516614,0.00541614011355486,"CIN"
"no_profunda_modelo_1 - profunda_modelo_4",8.40639830532204e-09,6.90525575080024e-09,1.40106638422034e-09,"CIN"
"no_profunda_modelo_2 - profunda_modelo_4",0.00785852989890471,0.00420992673155609,0.000561323564207479,"CIN"
"no_profunda_modelo_3 - profunda_modelo_4",1,0.843982139968437,0.153451298176079,"CIN"
"no_profunda_modelo_4 - profunda_modelo_4",1,0.920836251636286,0.920836251636286,"CIN"
"profunda_modelo_1 - profunda_modelo_4",1.23194601352688e-09,1.09995179779185e-09,3.07986503381719e-10,"CIN"
"profunda_modelo_2 - profunda_modelo_4",0.00404425039675782,0.00245543774088868,0.000337020866396485,"CIN"
"profunda_modelo_3 - profunda_modelo_4",1,1,0.460113976200964,"CIN"
