"Comparison","bonferroni","holm","bh","equipo"
"no_profunda_modelo_1 - no_profunda_modelo_2",1,1,0.410493519117146,"DET"
"no_profunda_modelo_1 - no_profunda_modelo_3",0.000182132834804919,0.000149609114304041,3.03554724674865e-05,"DET"
"no_profunda_modelo_2 - no_profunda_modelo_3",0.00968423168267807,0.00691730834477005,0.00107602574251979,"DET"
"no_profunda_modelo_1 - no_profunda_modelo_4",0.000298968069161657,0.000234903482912731,4.2709724165951e-05,"DET"
"no_profunda_modelo_2 - no_profunda_modelo_4",0.0144660135634801,0.00981622348950435,0.00144660135634801,"DET"
"no_profunda_modelo_3 - no_profunda_modelo_4",1,0.915342378243992,0.915342378243992,"DET"
"no_profunda_modelo_1 - profunda_modelo_1",1,0.92905821588874,0.136913842341499,"DET"
"no_profunda_modelo_2 - profunda_modelo_1",0.252579677109055,0.117269135800633,0.0157862298193159,"DET"
"no_profunda_modelo_3 - profunda_modelo_1",1.68945060954158e-08,1.62911308777223e-08,8.44725304770788e-09,"DET"
"no_profunda_modelo_4 - profunda_modelo_1",3.29769484838692e-08,3.06214521635928e-08,1.09923161612897e-08,"DET"
"no_profunda_modelo_1 - profunda_modelo_2",0.0338125061256471,0.0205290215762857,0.00281770884380392,"DET"
"no_profunda_modelo_2 - profunda_modelo_2",0.590976301775034,0.253275557903586,0.0347633118691196,"DET"
"no_profunda_modelo_3 - profunda_modelo_2",1,1,0.258747890479636,"DET"
"no_profunda_modelo_4 - profunda_modelo_2",1,1,0.296624329931104,"DET"
"profunda_modelo_1 - profunda_modelo_2",2.45630990210319e-05,2.19313384116356e-05,6.14077475525797e-06,"DET"
"no_profunda_modelo_1 - profunda_modelo_3",1,1,0.173383746142419,"DET"
"no_profunda_modelo_2 - profunda_modelo_3",1,1,0.627118960188544,"DET"
"no_profunda_modelo_3 - profunda_modelo_3",0.0767616983088589,0.0411223383797458,0.00548297845063278,"DET"
"no_profunda_modelo_4 - profunda_modelo_3",0.108202191135991,0.0541010955679955,0.00721347940906607,"DET"
"profunda_modelo_1 - profunda_modelo_3",0.0392589186887905,0.022433667822166,0.00301991682221466,"DET"
"profunda_modelo_2 - profunda_modelo_3",1,0.933517954326922,0.132012640005827,"DET"
"no_profunda_modelo_1 - profunda_modelo_4",4.57999810105828e-05,3.92571265804995e-05,9.15999620211656e-06,"DET"
"no_profunda_modelo_2 - profunda_modelo_4",0.00313744190858518,0.00235308143143888,0.000392180238573147,"DET"
"no_profunda_modelo_3 - profunda_modelo_4",1,1,0.804676595294587,"DET"
"no_profunda_modelo_4 - profunda_modelo_4",1,1,0.749384793125689,"DET"
"profunda_modelo_1 - profunda_modelo_4",2.66949297550191e-09,2.66949297550191e-09,2.66949297550191e-09,"DET"
"profunda_modelo_2 - profunda_modelo_4",1,1,0.167319614866066,"DET"
"profunda_modelo_3 - profunda_modelo_4",0.0290716181176703,0.0186888973613595,0.00264287437433367,"DET"
