"Comparison","bonferroni","holm","bh","equipo"
"no_profunda_modelo_1 - no_profunda_modelo_2",1,1,0.842945853041653,"LAC"
"no_profunda_modelo_1 - no_profunda_modelo_3",1.00049056546228e-06,8.21831535915443e-07,1.66748427577046e-07,"LAC"
"no_profunda_modelo_2 - no_profunda_modelo_3",2.53591252009229e-07,2.17363930293624e-07,5.07182504018457e-08,"LAC"
"no_profunda_modelo_1 - no_profunda_modelo_4",4.1422183015609e-06,2.95872735825778e-06,4.60246477951211e-07,"LAC"
"no_profunda_modelo_2 - no_profunda_modelo_4",1.11354393697117e-06,8.74927379048777e-07,1.59077705281596e-07,"LAC"
"no_profunda_modelo_3 - no_profunda_modelo_4",1,1,0.859634845886991,"LAC"
"no_profunda_modelo_1 - profunda_modelo_1",1,1,0.175625478011561,"LAC"
"no_profunda_modelo_2 - profunda_modelo_1",1,1,0.26156606531576,"LAC"
"no_profunda_modelo_3 - profunda_modelo_1",3.59502215725648e-11,3.59502215725648e-11,3.59502215725648e-11,"LAC"
"no_profunda_modelo_4 - profunda_modelo_1",2.21134362762935e-10,2.13236706949973e-10,1.10567181381467e-10,"LAC"
"no_profunda_modelo_1 - profunda_modelo_2",1,1,0.562088434924609,"LAC"
"no_profunda_modelo_2 - profunda_modelo_2",1,1,0.44178964125321,"LAC"
"no_profunda_modelo_3 - profunda_modelo_2",4.28310600973084e-05,2.75342529196982e-05,3.89373273611894e-06,"LAC"
"no_profunda_modelo_4 - profunda_modelo_2",0.000149011587259085,9.04713208358729e-05,1.24176322715904e-05,"LAC"
"profunda_modelo_1 - profunda_modelo_2",0.618695173501835,0.265155074357929,0.036393833735402,"LAC"
"no_profunda_modelo_1 - profunda_modelo_3",1.03728879156728e-05,7.03874537134941e-06,1.03728879156728e-06,"LAC"
"no_profunda_modelo_2 - profunda_modelo_3",2.90061312464873e-06,2.17545984348655e-06,3.62576640581091e-07,"LAC"
"no_profunda_modelo_3 - profunda_modelo_3",1,1,0.749539388161404,"LAC"
"no_profunda_modelo_4 - profunda_modelo_3",1,0.863777635545068,0.863777635545068,"LAC"
"profunda_modelo_1 - profunda_modelo_3",7.22006701478244e-10,6.70434794229798e-10,2.40668900492748e-10,"LAC"
"profunda_modelo_2 - profunda_modelo_3",0.000332125496938792,0.000177924373360067,2.37232497813422e-05,"LAC"
"no_profunda_modelo_1 - profunda_modelo_4",0.00067204273045485,0.000336021365227425,4.480284869699e-05,"LAC"
"no_profunda_modelo_2 - profunda_modelo_4",0.000228682638160845,0.000130675793234769,1.75909721662189e-05,"LAC"
"no_profunda_modelo_3 - profunda_modelo_4",1,1,0.277451317271488,"LAC"
"no_profunda_modelo_4 - profunda_modelo_4",1,1,0.403312673424782,"LAC"
"profunda_modelo_1 - profunda_modelo_4",1.75685919825594e-07,1.56862428415709e-07,4.39214799563984e-08,"LAC"
"profunda_modelo_2 - profunda_modelo_4",0.0120576814930158,0.00559820926461448,0.000753605093313487,"LAC"
"profunda_modelo_3 - profunda_modelo_4",1,1,0.47482602369138,"LAC"
