"Comparison","bonferroni","holm","bh","equipo"
"no_profunda_modelo_1 - no_profunda_modelo_2",4.87008927257727e-07,4.34829399337256e-07,1.21752231814432e-07,"LV"
"no_profunda_modelo_1 - no_profunda_modelo_3",8.85521887141727e-08,8.53896105458094e-08,4.42760943570864e-08,"LV"
"no_profunda_modelo_2 - no_profunda_modelo_3",1,1,0.833810926564698,"LV"
"no_profunda_modelo_1 - no_profunda_modelo_4",4.49224975055136e-08,4.49224975055136e-08,4.49224975055136e-08,"LV"
"no_profunda_modelo_2 - no_profunda_modelo_4",1,1,0.806254675336869,"LV"
"no_profunda_modelo_3 - no_profunda_modelo_4",1,1,0.945725503212476,"LV"
"no_profunda_modelo_1 - profunda_modelo_1",1,1,0.856808964992385,"LV"
"no_profunda_modelo_2 - profunda_modelo_1",2.64297817153784e-06,2.17101778376322e-06,4.40496361922973e-07,"LV"
"no_profunda_modelo_3 - profunda_modelo_1",5.22385789972871e-07,4.47759248548175e-07,1.04477157994574e-07,"LV"
"no_profunda_modelo_4 - profunda_modelo_1",2.73683518728889e-07,2.5413469596254e-07,9.12278395762963e-08,"LV"
"no_profunda_modelo_1 - profunda_modelo_2",8.73637887391759e-06,6.86429768664953e-06,1.24805412484537e-06,"LV"
"no_profunda_modelo_2 - profunda_modelo_2",1,1,0.734104560735645,"LV"
"no_profunda_modelo_3 - profunda_modelo_2",1,1,0.559642318730794,"LV"
"no_profunda_modelo_4 - profunda_modelo_2",1,1,0.528902663290091,"LV"
"profunda_modelo_1 - profunda_modelo_2",4.07783585228818e-05,2.91273989449155e-05,4.53092872476464e-06,"LV"
"no_profunda_modelo_1 - profunda_modelo_3",0.00206723766829646,0.00132893850104773,0.00018793069711786,"LV"
"no_profunda_modelo_2 - profunda_modelo_3",1,1,0.176254452482315,"LV"
"no_profunda_modelo_3 - profunda_modelo_3",1,0.751103067411434,0.100147075654858,"LV"
"no_profunda_modelo_4 - profunda_modelo_3",1,0.615364849724963,0.0828375759245142,"LV"
"profunda_modelo_1 - profunda_modelo_3",0.00693407408833665,0.00420997355363297,0.000577839507361388,"LV"
"profunda_modelo_2 - profunda_modelo_3",1,1,0.435989427193146,"LV"
"no_profunda_modelo_1 - profunda_modelo_4",8.97954164070414e-06,6.7346562305281e-06,1.12244270508802e-06,"LV"
"no_profunda_modelo_2 - profunda_modelo_4",1,1,0.762881258910494,"LV"
"no_profunda_modelo_3 - profunda_modelo_4",1,1,0.583451918892181,"LV"
"no_profunda_modelo_4 - profunda_modelo_4",1,1,0.554072811648863,"LV"
"profunda_modelo_1 - profunda_modelo_4",4.18506144595372e-05,2.83986312404002e-05,4.18506144595371e-06,"LV"
"profunda_modelo_2 - profunda_modelo_4",1,0.995864242467728,0.995864242467728,"LV"
"profunda_modelo_3 - profunda_modelo_4",1,1,0.413859894755078,"LV"
