"Comparison","bonferroni","holm","bh","equipo"
"no_profunda_modelo_1 - no_profunda_modelo_2",0.000268592719451418,0.000201444539588563,3.35740899314272e-05,"TEN"
"no_profunda_modelo_1 - no_profunda_modelo_3",0.000529564934452316,0.000359347634092643,5.29564934452316e-05,"TEN"
"no_profunda_modelo_2 - no_profunda_modelo_3",1,1,0.914361273160782,"TEN"
"no_profunda_modelo_1 - no_profunda_modelo_4",0.0337713680708579,0.0205040449001638,0.0028142806725715,"TEN"
"no_profunda_modelo_2 - no_profunda_modelo_4",1,1,0.386311028473031,"TEN"
"no_profunda_modelo_3 - no_profunda_modelo_4",1,1,0.439711968458001,"TEN"
"no_profunda_modelo_1 - profunda_modelo_1",1,1,0.438373302292228,"TEN"
"no_profunda_modelo_2 - profunda_modelo_1",1.04893042436272e-06,9.74006822622529e-07,3.49643474787574e-07,"TEN"
"no_profunda_modelo_3 - profunda_modelo_1",2.41406127556285e-06,2.15541185318112e-06,6.03515318890713e-07,"TEN"
"no_profunda_modelo_4 - profunda_modelo_1",0.000449550012251177,0.000321107151607984,4.99500013612419e-05,"TEN"
"no_profunda_modelo_1 - profunda_modelo_2",0.0087071244546318,0.00559743714940616,0.000791556768602891,"TEN"
"no_profunda_modelo_2 - profunda_modelo_2",1,1,0.5769655237065,"TEN"
"no_profunda_modelo_3 - profunda_modelo_2",1,1,0.611116506815746,"TEN"
"no_profunda_modelo_4 - profunda_modelo_2",1,1,0.767261469992616,"TEN"
"profunda_modelo_1 - profunda_modelo_2",7.94496091757394e-05,6.24246929237952e-05,1.13499441679628e-05,"TEN"
"no_profunda_modelo_1 - profunda_modelo_3",1.06525377543019e-05,9.13074664654445e-06,2.13050755086037e-06,"TEN"
"no_profunda_modelo_2 - profunda_modelo_3",1,1,0.599885867748251,"TEN"
"no_profunda_modelo_3 - profunda_modelo_3",1,1,0.564068872136227,"TEN"
"no_profunda_modelo_4 - profunda_modelo_3",1,1,0.141319637575047,"TEN"
"profunda_modelo_1 - profunda_modelo_3",2.10550967047381e-08,2.10550967047381e-08,2.10550967047381e-08,"TEN"
"profunda_modelo_2 - profunda_modelo_3",1,1,0.262985837584164,"TEN"
"no_profunda_modelo_1 - profunda_modelo_4",1.33636184499011e-05,1.09772580124188e-05,2.22726974165019e-06,"TEN"
"no_profunda_modelo_2 - profunda_modelo_4",1,1,0.607573434428891,"TEN"
"no_profunda_modelo_3 - profunda_modelo_4",1,1,0.570847093306711,"TEN"
"no_profunda_modelo_4 - profunda_modelo_4",1,1,0.144416612883266,"TEN"
"profunda_modelo_1 - profunda_modelo_4",2.76373823264455e-08,2.66503329576439e-08,1.38186911632228e-08,"TEN"
"profunda_modelo_2 - profunda_modelo_4",1,1,0.267634521196861,"TEN"
"profunda_modelo_3 - profunda_modelo_4",1,0.965495870064687,0.965495870064687,"TEN"
