"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.666666666666667,0.75,0.487179487179487,0.634615384615385
"2",0.2,0.2,0.2,0.01,20,0.569105691056911,0.678571428571429,0.333333333333333,0.527003484320557
"3",0.2,0.2,0.2,0.01,40,0.650406504065041,0.738095238095238,0.461538461538462,0.61668006789958
"4",0.2,0.2,0.2,0.01,60,0.585365853658537,0.69047619047619,0.358974358974359,0.544938801036362
"5",0.2,0.2,0.2,0.01,10,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"6",0.2,0.2,0.2,0.01,20,0.59349593495935,0.738095238095238,0.282051282051282,0.537880818368623
"7",0.2,0.2,0.2,0.01,40,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"8",0.2,0.2,0.2,0.01,60,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"9",0.2,0.2,0.2,0.01,10,0.590163934426229,0.714285714285714,0.315789473684211,0.540079707465385
"10",0.2,0.2,0.2,0.01,20,0.655737704918033,0.761904761904762,0.421052631578947,0.612898366133914
"11",0.2,0.2,0.2,0.01,40,0.590163934426229,0.714285714285714,0.315789473684211,0.540079707465385
"12",0.2,0.2,0.2,0.01,60,0.60655737704918,0.726190476190476,0.342105263157895,0.558284372132517
"13",0.2,0.2,0.2,0.02,10,0.650406504065041,0.738095238095238,0.461538461538462,0.61668006789958
"14",0.2,0.2,0.2,0.02,20,0.617886178861789,0.714285714285714,0.41025641025641,0.580809434467971
"15",0.2,0.2,0.2,0.02,40,0.617886178861789,0.714285714285714,0.41025641025641,0.580809434467971
"16",0.2,0.2,0.2,0.02,60,0.617886178861789,0.714285714285714,0.41025641025641,0.580809434467971
"17",0.2,0.2,0.2,0.02,10,0.609756097560976,0.75,0.307692307692308,0.555816135084428
"18",0.2,0.2,0.2,0.02,20,0.560975609756098,0.714285714285714,0.230769230769231,0.502010184937014
"19",0.2,0.2,0.2,0.02,40,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"20",0.2,0.2,0.2,0.02,60,0.609756097560976,0.75,0.307692307692308,0.555816135084428
"21",0.2,0.2,0.2,0.02,10,0.573770491803279,0.702380952380952,0.289473684210526,0.521875042798252
"22",0.2,0.2,0.2,0.02,20,0.639344262295082,0.75,0.394736842105263,0.594693701466782
"23",0.2,0.2,0.2,0.02,40,0.60655737704918,0.726190476190476,0.342105263157895,0.558284372132517
"24",0.2,0.2,0.2,0.02,60,0.573770491803279,0.702380952380952,0.289473684210526,0.521875042798252
"25",0.2,0.2,0.2,0.03,10,0.650406504065041,0.738095238095238,0.461538461538462,0.61668006789958
"26",0.2,0.2,0.2,0.03,20,0.634146341463415,0.726190476190476,0.435897435897436,0.598744751183776
"27",0.2,0.2,0.2,0.03,40,0.617886178861789,0.714285714285714,0.41025641025641,0.580809434467971
"28",0.2,0.2,0.2,0.03,60,0.601626016260163,0.702380952380952,0.384615384615385,0.562874117752167
"29",0.2,0.2,0.2,0.03,10,0.67479674796748,0.797619047619048,0.41025641025641,0.627557401947646
"30",0.2,0.2,0.2,0.03,20,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"31",0.2,0.2,0.2,0.03,40,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"32",0.2,0.2,0.2,0.03,60,0.67479674796748,0.797619047619048,0.41025641025641,0.627557401947646
"33",0.2,0.2,0.2,0.03,10,0.60655737704918,0.726190476190476,0.342105263157895,0.558284372132517
"34",0.2,0.2,0.2,0.03,20,0.622950819672131,0.738095238095238,0.368421052631579,0.576489036799649
"35",0.2,0.2,0.2,0.03,40,0.639344262295082,0.75,0.394736842105263,0.594693701466782
"36",0.2,0.2,0.2,0.03,60,0.590163934426229,0.714285714285714,0.315789473684211,0.540079707465385
"37",0.2,0.2,0.2,0.05,10,0.617886178861789,0.714285714285714,0.41025641025641,0.580809434467971
"38",0.2,0.2,0.2,0.05,20,0.666666666666667,0.75,0.487179487179487,0.634615384615385
"39",0.2,0.2,0.2,0.05,40,0.601626016260163,0.702380952380952,0.384615384615385,0.562874117752167
"40",0.2,0.2,0.2,0.05,60,0.666666666666667,0.75,0.487179487179487,0.634615384615385
"41",0.2,0.2,0.2,0.05,10,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"42",0.2,0.2,0.2,0.05,20,0.691056910569106,0.80952380952381,0.435897435897436,0.64549271866345
"43",0.2,0.2,0.2,0.05,40,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"44",0.2,0.2,0.2,0.05,60,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"45",0.2,0.2,0.2,0.05,10,0.655737704918033,0.761904761904762,0.421052631578947,0.612898366133914
"46",0.2,0.2,0.2,0.05,20,0.622950819672131,0.738095238095238,0.368421052631579,0.576489036799649
"47",0.2,0.2,0.2,0.05,40,0.590163934426229,0.714285714285714,0.315789473684211,0.540079707465385
"48",0.2,0.2,0.2,0.05,60,0.573770491803279,0.702380952380952,0.289473684210526,0.521875042798252
"49",0.2,0.2,0.2,0.06,10,0.552845528455285,0.666666666666667,0.307692307692308,0.509068167604753
"50",0.2,0.2,0.2,0.06,20,0.552845528455285,0.666666666666667,0.307692307692308,0.509068167604753
"51",0.2,0.2,0.2,0.06,40,0.552845528455285,0.666666666666667,0.307692307692308,0.509068167604753
"52",0.2,0.2,0.2,0.06,60,0.601626016260163,0.702380952380952,0.384615384615385,0.562874117752167
"53",0.2,0.2,0.2,0.06,10,0.626016260162602,0.761904761904762,0.333333333333333,0.573751451800232
"54",0.2,0.2,0.2,0.06,20,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"55",0.2,0.2,0.2,0.06,40,0.642276422764228,0.773809523809524,0.358974358974359,0.591686768516037
"56",0.2,0.2,0.2,0.06,60,0.577235772357724,0.726190476190476,0.256410256410256,0.519945501652819
"57",0.2,0.2,0.2,0.06,10,0.672131147540984,0.773809523809524,0.447368421052632,0.631103030801046
"58",0.2,0.2,0.2,0.06,20,0.540983606557377,0.678571428571429,0.236842105263158,0.485465713463988
"59",0.2,0.2,0.2,0.06,40,0.622950819672131,0.738095238095238,0.368421052631579,0.576489036799649
"60",0.2,0.2,0.2,0.06,60,0.590163934426229,0.714285714285714,0.315789473684211,0.540079707465385
"61",0.2,0.2,0.2,0.1,10,0.569105691056911,0.678571428571429,0.333333333333333,0.527003484320557
"62",0.2,0.2,0.2,0.1,20,0.601626016260163,0.702380952380952,0.384615384615385,0.562874117752167
"63",0.2,0.2,0.2,0.1,40,0.520325203252033,0.642857142857143,0.256410256410256,0.473197534173144
"64",0.2,0.2,0.2,0.1,60,0.585365853658537,0.69047619047619,0.358974358974359,0.544938801036362
"65",0.2,0.2,0.2,0.1,10,0.609756097560976,0.75,0.307692307692308,0.555816135084428
"66",0.2,0.2,0.2,0.1,20,0.59349593495935,0.738095238095238,0.282051282051282,0.537880818368623
"67",0.2,0.2,0.2,0.1,40,0.59349593495935,0.738095238095238,0.282051282051282,0.537880818368623
"68",0.2,0.2,0.2,0.1,60,0.59349593495935,0.738095238095238,0.282051282051282,0.537880818368623
"69",0.2,0.2,0.2,0.1,10,0.672131147540984,0.773809523809524,0.447368421052632,0.631103030801046
"70",0.2,0.2,0.2,0.1,20,0.639344262295082,0.75,0.394736842105263,0.594693701466782
"71",0.2,0.2,0.2,0.1,40,0.60655737704918,0.726190476190476,0.342105263157895,0.558284372132517
"72",0.2,0.2,0.2,0.1,60,0.655737704918033,0.761904761904762,0.421052631578947,0.612898366133914
