"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.770491803278688,0.794520547945205,0.73469387755102,0.766568742924971
"2",0.2,0.2,0.01,20,0.704918032786885,0.73972602739726,0.653061224489796,0.699235094891314
"3",0.2,0.2,0.01,40,0.655737704918033,0.698630136986301,0.591836734693878,0.648734858866071
"4",0.2,0.2,0.01,60,0.704918032786885,0.73972602739726,0.653061224489796,0.699235094891314
"5",0.2,0.2,0.01,10,0.644628099173554,0.666666666666667,0.612244897959184,0.641179887933135
"6",0.2,0.2,0.01,20,0.611570247933884,0.638888888888889,0.571428571428571,0.607295902750448
"7",0.2,0.2,0.01,40,0.677685950413223,0.694444444444444,0.653061224489796,0.675063873115821
"8",0.2,0.2,0.01,60,0.694214876033058,0.708333333333333,0.673469387755102,0.692005865707164
"9",0.2,0.2,0.01,10,0.644628099173554,0.736111111111111,0.510204081632653,0.630314430639106
"10",0.2,0.2,0.01,20,0.661157024793388,0.75,0.530612244897959,0.647256423230449
"11",0.2,0.2,0.01,40,0.661157024793388,0.75,0.530612244897959,0.647256423230449
"12",0.2,0.2,0.01,60,0.644628099173554,0.736111111111111,0.510204081632653,0.630314430639106
"13",0.2,0.2,0.02,10,0.721311475409836,0.753424657534247,0.673469387755102,0.716068506899728
"14",0.2,0.2,0.02,20,0.770491803278688,0.794520547945205,0.73469387755102,0.766568742924971
"15",0.2,0.2,0.02,40,0.721311475409836,0.753424657534247,0.673469387755102,0.716068506899728
"16",0.2,0.2,0.02,60,0.688524590163934,0.726027397260274,0.63265306122449,0.682401682882899
"17",0.2,0.2,0.02,10,0.661157024793388,0.680555555555556,0.63265306122449,0.658121880524478
"18",0.2,0.2,0.02,20,0.611570247933884,0.638888888888889,0.571428571428571,0.607295902750448
"19",0.2,0.2,0.02,40,0.694214876033058,0.708333333333333,0.673469387755102,0.692005865707164
"20",0.2,0.2,0.02,60,0.644628099173554,0.666666666666667,0.612244897959184,0.641179887933135
"21",0.2,0.2,0.02,10,0.644628099173554,0.736111111111111,0.510204081632653,0.630314430639106
"22",0.2,0.2,0.02,20,0.644628099173554,0.736111111111111,0.510204081632653,0.630314430639106
"23",0.2,0.2,0.02,40,0.661157024793388,0.75,0.530612244897959,0.647256423230449
"24",0.2,0.2,0.02,60,0.661157024793388,0.75,0.530612244897959,0.647256423230449
"25",0.2,0.2,0.03,10,0.721311475409836,0.753424657534247,0.673469387755102,0.716068506899728
"26",0.2,0.2,0.03,20,0.688524590163934,0.726027397260274,0.63265306122449,0.682401682882899
