"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.651851851851852,0.630769230769231,0.671428571428571,0.651349884683218
"2",0.2,0.2,0.2,0.01,20,0.637037037037037,0.615384615384615,0.657142857142857,0.63652150318817
"3",0.2,0.2,0.2,0.01,40,0.637037037037037,0.615384615384615,0.657142857142857,0.63652150318817
"4",0.2,0.2,0.2,0.01,60,0.637037037037037,0.615384615384615,0.657142857142857,0.63652150318817
"5",0.2,0.2,0.2,0.01,10,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"6",0.2,0.2,0.2,0.01,20,0.666666666666667,0.676923076923077,0.657142857142857,0.666910866910867
"7",0.2,0.2,0.2,0.01,40,0.651851851851852,0.661538461538462,0.642857142857143,0.652082485415819
"8",0.2,0.2,0.2,0.01,60,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"9",0.2,0.2,0.2,0.01,10,0.664179104477612,0.625,0.7,0.663059701492537
"10",0.2,0.2,0.2,0.01,20,0.619402985074627,0.578125,0.657142857142857,0.618223614072495
"11",0.2,0.2,0.2,0.01,40,0.604477611940298,0.5625,0.642857142857143,0.603278251599147
"12",0.2,0.2,0.2,0.01,60,0.664179104477612,0.625,0.7,0.663059701492537
"13",0.2,0.2,0.2,0.02,10,0.622222222222222,0.6,0.642857142857143,0.621693121693122
"14",0.2,0.2,0.2,0.02,20,0.622222222222222,0.6,0.642857142857143,0.621693121693122
"15",0.2,0.2,0.2,0.02,40,0.637037037037037,0.615384615384615,0.657142857142857,0.63652150318817
"16",0.2,0.2,0.2,0.02,60,0.607407407407407,0.584615384615385,0.628571428571429,0.606864740198073
"17",0.2,0.2,0.2,0.02,10,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"18",0.2,0.2,0.2,0.02,20,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"19",0.2,0.2,0.2,0.02,40,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"20",0.2,0.2,0.2,0.02,60,0.607407407407407,0.615384615384615,0.6,0.607597340930674
"21",0.2,0.2,0.2,0.02,10,0.664179104477612,0.625,0.7,0.663059701492537
"22",0.2,0.2,0.2,0.02,20,0.604477611940298,0.5625,0.642857142857143,0.603278251599147
"23",0.2,0.2,0.2,0.02,40,0.604477611940298,0.5625,0.642857142857143,0.603278251599147
"24",0.2,0.2,0.2,0.02,60,0.649253731343284,0.609375,0.685714285714286,0.64811433901919
"25",0.2,0.2,0.2,0.03,10,0.666666666666667,0.646153846153846,0.685714285714286,0.666178266178266
"26",0.2,0.2,0.2,0.03,20,0.592592592592593,0.569230769230769,0.614285714285714,0.592036358703025
"27",0.2,0.2,0.2,0.03,40,0.622222222222222,0.6,0.642857142857143,0.621693121693122
"28",0.2,0.2,0.2,0.03,60,0.592592592592593,0.569230769230769,0.614285714285714,0.592036358703025
"29",0.2,0.2,0.2,0.03,10,0.711111111111111,0.723076923076923,0.7,0.711396011396011
"30",0.2,0.2,0.2,0.03,20,0.637037037037037,0.646153846153846,0.628571428571429,0.637254103920771
"31",0.2,0.2,0.2,0.03,40,0.607407407407407,0.615384615384615,0.6,0.607597340930674
"32",0.2,0.2,0.2,0.03,60,0.666666666666667,0.676923076923077,0.657142857142857,0.666910866910867
