"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"2",0.2,0.2,0.01,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"3",0.2,0.2,0.01,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"4",0.2,0.2,0.01,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"5",0.2,0.2,0.01,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"6",0.2,0.2,0.01,20,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"7",0.2,0.2,0.01,40,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"8",0.2,0.2,0.01,60,0.6,0.549295774647887,0.65625,0.601848591549296
"9",0.2,0.2,0.01,10,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"10",0.2,0.2,0.01,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"11",0.2,0.2,0.01,40,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"12",0.2,0.2,0.01,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"13",0.2,0.2,0.02,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"14",0.2,0.2,0.02,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"15",0.2,0.2,0.02,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"16",0.2,0.2,0.02,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"17",0.2,0.2,0.02,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"18",0.2,0.2,0.02,20,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"19",0.2,0.2,0.02,40,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"20",0.2,0.2,0.02,60,0.614814814814815,0.563380281690141,0.671875,0.616690032168319
"21",0.2,0.2,0.02,10,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"22",0.2,0.2,0.02,20,0.785185185185185,0.830985915492958,0.734375,0.783515366892714
"23",0.2,0.2,0.02,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"24",0.2,0.2,0.02,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"25",0.2,0.2,0.03,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"26",0.2,0.2,0.03,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"27",0.2,0.2,0.03,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"28",0.2,0.2,0.03,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"29",0.2,0.2,0.03,10,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"30",0.2,0.2,0.03,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"31",0.2,0.2,0.03,40,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"32",0.2,0.2,0.03,60,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"33",0.2,0.2,0.03,10,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"34",0.2,0.2,0.03,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"35",0.2,0.2,0.03,40,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"36",0.2,0.2,0.03,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"37",0.2,0.2,0.05,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"38",0.2,0.2,0.05,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"39",0.2,0.2,0.05,40,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"40",0.2,0.2,0.05,60,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"41",0.2,0.2,0.05,10,0.777777777777778,0.71830985915493,0.84375,0.779945878977569
"42",0.2,0.2,0.05,20,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"43",0.2,0.2,0.05,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"44",0.2,0.2,0.05,60,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"45",0.2,0.2,0.05,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"46",0.2,0.2,0.05,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"47",0.2,0.2,0.05,40,0.681481481481481,0.732394366197183,0.625,0.679625282559555
"48",0.2,0.2,0.05,60,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"49",0.2,0.2,0.06,10,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"50",0.2,0.2,0.06,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"51",0.2,0.2,0.06,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"52",0.2,0.2,0.06,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"53",0.2,0.2,0.06,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"54",0.2,0.2,0.06,20,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"55",0.2,0.2,0.06,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"56",0.2,0.2,0.06,60,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"57",0.2,0.2,0.06,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"58",0.2,0.2,0.06,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"59",0.2,0.2,0.06,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"60",0.2,0.2,0.06,60,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"61",0.2,0.2,0.1,10,0.525925925925926,0.563380281690141,0.484375,0.524560402538689
"62",0.2,0.2,0.1,20,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"63",0.2,0.2,0.1,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"64",0.2,0.2,0.1,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"65",0.2,0.2,0.1,10,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"66",0.2,0.2,0.1,20,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"67",0.2,0.2,0.1,40,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"68",0.2,0.2,0.1,60,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"69",0.2,0.2,0.1,10,0.666666666666667,0.71830985915493,0.609375,0.664783841940532
"70",0.2,0.2,0.1,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"71",0.2,0.2,0.1,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"72",0.2,0.2,0.1,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"73",0.2,0.3,0.01,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"74",0.2,0.3,0.01,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"75",0.2,0.3,0.01,40,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"76",0.2,0.3,0.01,60,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"77",0.2,0.3,0.01,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"78",0.2,0.3,0.01,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"79",0.2,0.3,0.01,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"80",0.2,0.3,0.01,60,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"81",0.2,0.3,0.01,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"82",0.2,0.3,0.01,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"83",0.2,0.3,0.01,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"84",0.2,0.3,0.01,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"85",0.2,0.3,0.02,10,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"86",0.2,0.3,0.02,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"87",0.2,0.3,0.02,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"88",0.2,0.3,0.02,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"89",0.2,0.3,0.02,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"90",0.2,0.3,0.02,20,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"91",0.2,0.3,0.02,40,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"92",0.2,0.3,0.02,60,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"93",0.2,0.3,0.02,10,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"94",0.2,0.3,0.02,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"95",0.2,0.3,0.02,40,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"96",0.2,0.3,0.02,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"97",0.2,0.3,0.03,10,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"98",0.2,0.3,0.03,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"99",0.2,0.3,0.03,40,0.748148148148148,0.774647887323944,0.71875,0.747182011824031
"100",0.2,0.3,0.03,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"101",0.2,0.3,0.03,10,0.762962962962963,0.704225352112676,0.828125,0.765104438358546
"102",0.2,0.3,0.03,20,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"103",0.2,0.3,0.03,40,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"104",0.2,0.3,0.03,60,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"105",0.2,0.3,0.03,10,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"106",0.2,0.3,0.03,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"107",0.2,0.3,0.03,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"108",0.2,0.3,0.03,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"109",0.2,0.3,0.05,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"110",0.2,0.3,0.05,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"111",0.2,0.3,0.05,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"112",0.2,0.3,0.05,60,0.748148148148148,0.774647887323944,0.71875,0.747182011824031
"113",0.2,0.3,0.05,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"114",0.2,0.3,0.05,20,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"115",0.2,0.3,0.05,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"116",0.2,0.3,0.05,60,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"117",0.2,0.3,0.05,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"118",0.2,0.3,0.05,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"119",0.2,0.3,0.05,40,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"120",0.2,0.3,0.05,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"121",0.2,0.3,0.06,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"122",0.2,0.3,0.06,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"123",0.2,0.3,0.06,40,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"124",0.2,0.3,0.06,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"125",0.2,0.3,0.06,10,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"126",0.2,0.3,0.06,20,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"127",0.2,0.3,0.06,40,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"128",0.2,0.3,0.06,60,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"129",0.2,0.3,0.06,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"130",0.2,0.3,0.06,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"131",0.2,0.3,0.06,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"132",0.2,0.3,0.06,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"133",0.2,0.3,0.1,10,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"134",0.2,0.3,0.1,20,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"135",0.2,0.3,0.1,40,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"136",0.2,0.3,0.1,60,0.659259259259259,0.690140845070423,0.625,0.658133368109894
"137",0.2,0.3,0.1,10,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"138",0.2,0.3,0.1,20,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"139",0.2,0.3,0.1,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"140",0.2,0.3,0.1,60,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"141",0.2,0.3,0.1,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"142",0.2,0.3,0.1,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"143",0.2,0.3,0.1,40,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"144",0.2,0.3,0.1,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"145",0.2,0.4,0.01,10,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"146",0.2,0.4,0.01,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"147",0.2,0.4,0.01,40,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"148",0.2,0.4,0.01,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"149",0.2,0.4,0.01,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"150",0.2,0.4,0.01,20,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"151",0.2,0.4,0.01,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
