"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"2",0.2,0.2,0.2,0.01,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"3",0.2,0.2,0.2,0.01,40,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"4",0.2,0.2,0.2,0.01,60,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"5",0.2,0.2,0.2,0.01,10,0.748148148148148,0.690140845070423,0.8125,0.750262997739524
"6",0.2,0.2,0.2,0.01,20,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"7",0.2,0.2,0.2,0.01,40,0.57037037037037,0.52112676056338,0.625,0.57216571031125
"8",0.2,0.2,0.2,0.01,60,0.585185185185185,0.535211267605634,0.640625,0.587007150930273
"9",0.2,0.2,0.2,0.01,10,0.77037037037037,0.816901408450704,0.71875,0.768673926273692
"10",0.2,0.2,0.2,0.01,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"11",0.2,0.2,0.2,0.01,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"12",0.2,0.2,0.2,0.01,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"13",0.2,0.2,0.2,0.02,10,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"14",0.2,0.2,0.2,0.02,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"15",0.2,0.2,0.2,0.02,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"16",0.2,0.2,0.2,0.02,60,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"17",0.2,0.2,0.2,0.02,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"18",0.2,0.2,0.2,0.02,20,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"19",0.2,0.2,0.2,0.02,40,0.6,0.549295774647887,0.65625,0.601848591549296
"20",0.2,0.2,0.2,0.02,60,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"21",0.2,0.2,0.2,0.02,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"22",0.2,0.2,0.2,0.02,20,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"23",0.2,0.2,0.2,0.02,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"24",0.2,0.2,0.2,0.02,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"25",0.2,0.2,0.2,0.03,10,0.659259259259259,0.690140845070423,0.625,0.658133368109894
"26",0.2,0.2,0.2,0.03,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"27",0.2,0.2,0.2,0.03,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"28",0.2,0.2,0.2,0.03,60,0.748148148148148,0.774647887323944,0.71875,0.747182011824031
"29",0.2,0.2,0.2,0.03,10,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"30",0.2,0.2,0.2,0.03,20,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"31",0.2,0.2,0.2,0.03,40,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"32",0.2,0.2,0.2,0.03,60,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"33",0.2,0.2,0.2,0.03,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"34",0.2,0.2,0.2,0.03,20,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"35",0.2,0.2,0.2,0.03,40,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"36",0.2,0.2,0.2,0.03,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"37",0.2,0.2,0.2,0.05,10,0.614814814814815,0.647887323943662,0.578125,0.613609046252826
"38",0.2,0.2,0.2,0.05,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"39",0.2,0.2,0.2,0.05,40,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"40",0.2,0.2,0.2,0.05,60,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"41",0.2,0.2,0.2,0.05,10,0.481481481481481,0.436619718309859,0.53125,0.483117066597114
"42",0.2,0.2,0.2,0.05,20,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"43",0.2,0.2,0.2,0.05,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"44",0.2,0.2,0.2,0.05,60,0.6,0.549295774647887,0.65625,0.601848591549296
"45",0.2,0.2,0.2,0.05,10,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"46",0.2,0.2,0.2,0.05,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"47",0.2,0.2,0.2,0.05,40,0.77037037037037,0.816901408450704,0.71875,0.768673926273692
"48",0.2,0.2,0.2,0.05,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"49",0.2,0.2,0.2,0.06,10,0.57037037037037,0.605633802816901,0.53125,0.569084724395757
"50",0.2,0.2,0.2,0.06,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"51",0.2,0.2,0.2,0.06,40,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"52",0.2,0.2,0.2,0.06,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"53",0.2,0.2,0.2,0.06,10,0.496296296296296,0.450704225352113,0.546875,0.497958507216136
"54",0.2,0.2,0.2,0.06,20,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"55",0.2,0.2,0.2,0.06,40,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"56",0.2,0.2,0.2,0.06,60,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"57",0.2,0.2,0.2,0.06,10,0.666666666666667,0.71830985915493,0.609375,0.664783841940532
"58",0.2,0.2,0.2,0.06,20,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"59",0.2,0.2,0.2,0.06,40,0.637037037037037,0.690140845070423,0.578125,0.635100960702487
"60",0.2,0.2,0.2,0.06,60,0.681481481481481,0.732394366197183,0.625,0.679625282559555
"61",0.2,0.2,0.2,0.1,10,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"62",0.2,0.2,0.2,0.1,20,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"63",0.2,0.2,0.2,0.1,40,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"64",0.2,0.2,0.2,0.1,60,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"65",0.2,0.2,0.2,0.1,10,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"66",0.2,0.2,0.2,0.1,20,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"67",0.2,0.2,0.2,0.1,40,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"68",0.2,0.2,0.2,0.1,60,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"69",0.2,0.2,0.2,0.1,10,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"70",0.2,0.2,0.2,0.1,20,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"71",0.2,0.2,0.2,0.1,40,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"72",0.2,0.2,0.2,0.1,60,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"73",0.2,0.2,0.3,0.01,10,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"74",0.2,0.2,0.3,0.01,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"75",0.2,0.2,0.3,0.01,40,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"76",0.2,0.2,0.3,0.01,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"77",0.2,0.2,0.3,0.01,10,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"78",0.2,0.2,0.3,0.01,20,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"79",0.2,0.2,0.3,0.01,40,0.6,0.549295774647887,0.65625,0.601848591549296
"80",0.2,0.2,0.3,0.01,60,0.555555555555556,0.507042253521127,0.609375,0.557324269692227
"81",0.2,0.2,0.3,0.01,10,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"82",0.2,0.2,0.3,0.01,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"83",0.2,0.2,0.3,0.01,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"84",0.2,0.2,0.3,0.01,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"85",0.2,0.2,0.3,0.02,10,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"86",0.2,0.2,0.3,0.02,20,0.748148148148148,0.774647887323944,0.71875,0.747182011824031
"87",0.2,0.2,0.3,0.02,40,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"88",0.2,0.2,0.3,0.02,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"89",0.2,0.2,0.3,0.02,10,0.777777777777778,0.71830985915493,0.84375,0.779945878977569
"90",0.2,0.2,0.3,0.02,20,0.614814814814815,0.563380281690141,0.671875,0.616690032168319
"91",0.2,0.2,0.3,0.02,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"92",0.2,0.2,0.3,0.02,60,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"93",0.2,0.2,0.3,0.02,10,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"94",0.2,0.2,0.3,0.02,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"95",0.2,0.2,0.3,0.02,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"96",0.2,0.2,0.3,0.02,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"97",0.2,0.2,0.3,0.03,10,0.62962962962963,0.661971830985915,0.59375,0.628450486871848
"98",0.2,0.2,0.3,0.03,20,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"99",0.2,0.2,0.3,0.03,40,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"100",0.2,0.2,0.3,0.03,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"101",0.2,0.2,0.3,0.03,10,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"102",0.2,0.2,0.3,0.03,20,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"103",0.2,0.2,0.3,0.03,40,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"104",0.2,0.2,0.3,0.03,60,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"105",0.2,0.2,0.3,0.03,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"106",0.2,0.2,0.3,0.03,20,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"107",0.2,0.2,0.3,0.03,40,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"108",0.2,0.2,0.3,0.03,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"109",0.2,0.2,0.3,0.05,10,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"110",0.2,0.2,0.3,0.05,20,0.748148148148148,0.774647887323944,0.71875,0.747182011824031
"111",0.2,0.2,0.3,0.05,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"112",0.2,0.2,0.3,0.05,60,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"113",0.2,0.2,0.3,0.05,10,0.555555555555556,0.507042253521127,0.609375,0.557324269692227
"114",0.2,0.2,0.3,0.05,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"115",0.2,0.2,0.3,0.05,40,0.614814814814815,0.563380281690141,0.671875,0.616690032168319
"116",0.2,0.2,0.3,0.05,60,0.6,0.549295774647887,0.65625,0.601848591549296
"117",0.2,0.2,0.3,0.05,10,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"118",0.2,0.2,0.3,0.05,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"119",0.2,0.2,0.3,0.05,40,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"120",0.2,0.2,0.3,0.05,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"121",0.2,0.2,0.3,0.06,10,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"122",0.2,0.2,0.3,0.06,20,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"123",0.2,0.2,0.3,0.06,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"124",0.2,0.2,0.3,0.06,60,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"125",0.2,0.2,0.3,0.06,10,0.496296296296296,0.450704225352113,0.546875,0.497958507216136
"126",0.2,0.2,0.3,0.06,20,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"127",0.2,0.2,0.3,0.06,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"128",0.2,0.2,0.3,0.06,60,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"129",0.2,0.2,0.3,0.06,10,0.42962962962963,0.492957746478873,0.359375,0.427320792036168
"130",0.2,0.2,0.3,0.06,20,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"131",0.2,0.2,0.3,0.06,40,0.651851851851852,0.704225352112676,0.59375,0.649942401321509
"132",0.2,0.2,0.3,0.06,60,0.592592592592593,0.647887323943662,0.53125,0.590576638845418
"133",0.2,0.2,0.3,0.1,10,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"134",0.2,0.2,0.3,0.1,20,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"135",0.2,0.2,0.3,0.1,40,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"136",0.2,0.2,0.3,0.1,60,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"137",0.2,0.2,0.3,0.1,10,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"138",0.2,0.2,0.3,0.1,20,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"139",0.2,0.2,0.3,0.1,40,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"140",0.2,0.2,0.3,0.1,60,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"141",0.2,0.2,0.3,0.1,10,0.474074074074074,0.535211267605634,0.40625,0.471845113893236
"142",0.2,0.2,0.3,0.1,20,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"143",0.2,0.2,0.3,0.1,40,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"144",0.2,0.2,0.3,0.1,60,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"145",0.2,0.2,0.4,0.01,10,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"146",0.2,0.2,0.4,0.01,20,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"147",0.2,0.2,0.4,0.01,40,0.62962962962963,0.661971830985915,0.59375,0.628450486871848
"148",0.2,0.2,0.4,0.01,60,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"149",0.2,0.2,0.4,0.01,10,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"150",0.2,0.2,0.4,0.01,20,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"151",0.2,0.2,0.4,0.01,40,0.585185185185185,0.535211267605634,0.640625,0.587007150930273
"152",0.2,0.2,0.4,0.01,60,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"153",0.2,0.2,0.4,0.01,10,0.77037037037037,0.816901408450704,0.71875,0.768673926273692
"154",0.2,0.2,0.4,0.01,20,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"155",0.2,0.2,0.4,0.01,40,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"156",0.2,0.2,0.4,0.01,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"157",0.2,0.2,0.4,0.02,10,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"158",0.2,0.2,0.4,0.02,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"159",0.2,0.2,0.4,0.02,40,0.659259259259259,0.690140845070423,0.625,0.658133368109894
"160",0.2,0.2,0.4,0.02,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"161",0.2,0.2,0.4,0.02,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"162",0.2,0.2,0.4,0.02,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"163",0.2,0.2,0.4,0.02,40,0.6,0.549295774647887,0.65625,0.601848591549296
"164",0.2,0.2,0.4,0.02,60,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"165",0.2,0.2,0.4,0.02,10,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"166",0.2,0.2,0.4,0.02,20,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"167",0.2,0.2,0.4,0.02,40,0.681481481481481,0.732394366197183,0.625,0.679625282559555
"168",0.2,0.2,0.4,0.02,60,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"169",0.2,0.2,0.4,0.03,10,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"170",0.2,0.2,0.4,0.03,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"171",0.2,0.2,0.4,0.03,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"172",0.2,0.2,0.4,0.03,60,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"173",0.2,0.2,0.4,0.03,10,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"174",0.2,0.2,0.4,0.03,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"175",0.2,0.2,0.4,0.03,40,0.674074074074074,0.619718309859155,0.734375,0.67605579464441
"176",0.2,0.2,0.4,0.03,60,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"177",0.2,0.2,0.4,0.03,10,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"178",0.2,0.2,0.4,0.03,20,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"179",0.2,0.2,0.4,0.03,40,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"180",0.2,0.2,0.4,0.03,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"181",0.2,0.2,0.4,0.05,10,0.674074074074074,0.704225352112676,0.640625,0.672974808728917
"182",0.2,0.2,0.4,0.05,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"183",0.2,0.2,0.4,0.05,40,0.659259259259259,0.690140845070423,0.625,0.658133368109894
"184",0.2,0.2,0.4,0.05,60,0.644444444444444,0.676056338028169,0.609375,0.643291927490871
"185",0.2,0.2,0.4,0.05,10,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"186",0.2,0.2,0.4,0.05,20,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"187",0.2,0.2,0.4,0.05,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"188",0.2,0.2,0.4,0.05,60,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"189",0.2,0.2,0.4,0.05,10,0.696296296296296,0.746478873239437,0.640625,0.694466723178578
"190",0.2,0.2,0.4,0.05,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"191",0.2,0.2,0.4,0.05,40,0.681481481481481,0.732394366197183,0.625,0.679625282559555
"192",0.2,0.2,0.4,0.05,60,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"193",0.2,0.2,0.4,0.06,10,0.466666666666667,0.507042253521127,0.421875,0.465194640062598
"194",0.2,0.2,0.4,0.06,20,0.540740740740741,0.577464788732394,0.5,0.539401843157712
"195",0.2,0.2,0.4,0.06,40,0.525925925925926,0.563380281690141,0.484375,0.524560402538689
"196",0.2,0.2,0.4,0.06,60,0.540740740740741,0.577464788732394,0.5,0.539401843157712
"197",0.2,0.2,0.4,0.06,10,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"198",0.2,0.2,0.4,0.06,20,0.718518518518519,0.661971830985915,0.78125,0.720580116501478
"199",0.2,0.2,0.4,0.06,40,0.703703703703704,0.647887323943662,0.765625,0.705738675882455
"200",0.2,0.2,0.4,0.06,60,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"201",0.2,0.2,0.4,0.06,10,0.533333333333333,0.591549295774648,0.46875,0.531210876369327
"202",0.2,0.2,0.4,0.06,20,0.518518518518518,0.577464788732394,0.453125,0.516369435750304
"203",0.2,0.2,0.4,0.06,40,0.533333333333333,0.591549295774648,0.46875,0.531210876369327
"204",0.2,0.2,0.4,0.06,60,0.503703703703704,0.563380281690141,0.4375,0.501527995131282
"205",0.2,0.2,0.4,0.1,10,0.540740740740741,0.577464788732394,0.5,0.539401843157712
"206",0.2,0.2,0.4,0.1,20,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"207",0.2,0.2,0.4,0.1,40,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"208",0.2,0.2,0.4,0.1,60,0.481481481481481,0.52112676056338,0.4375,0.480036080681621
"209",0.2,0.2,0.4,0.1,10,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"210",0.2,0.2,0.4,0.1,20,0.540740740740741,0.492957746478873,0.59375,0.542482829073205
"211",0.2,0.2,0.4,0.1,40,0.525925925925926,0.47887323943662,0.578125,0.527641388454182
"212",0.2,0.2,0.4,0.1,60,0.540740740740741,0.492957746478873,0.59375,0.542482829073205
"213",0.2,0.2,0.4,0.1,10,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"214",0.2,0.2,0.4,0.1,20,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"215",0.2,0.2,0.4,0.1,40,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"216",0.2,0.2,0.4,0.1,60,0.488888888888889,0.549295774647887,0.421875,0.486686554512259
"217",0.2,0.2,0.5,0.01,10,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"218",0.2,0.2,0.5,0.01,20,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"219",0.2,0.2,0.5,0.01,40,0.703703703703704,0.732394366197183,0.671875,0.702657689966962
"220",0.2,0.2,0.5,0.01,60,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"221",0.2,0.2,0.5,0.01,10,0.748148148148148,0.690140845070423,0.8125,0.750262997739524
"222",0.2,0.2,0.5,0.01,20,0.659259259259259,0.605633802816901,0.71875,0.661214354025387
"223",0.2,0.2,0.5,0.01,40,0.614814814814815,0.563380281690141,0.671875,0.616690032168319
"224",0.2,0.2,0.5,0.01,60,0.62962962962963,0.577464788732394,0.6875,0.631531472787341
"225",0.2,0.2,0.5,0.01,10,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"226",0.2,0.2,0.5,0.01,20,0.755555555555556,0.802816901408451,0.703125,0.753832485654669
"227",0.2,0.2,0.5,0.01,40,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"228",0.2,0.2,0.5,0.01,60,0.711111111111111,0.76056338028169,0.65625,0.7093081637976
"229",0.2,0.2,0.5,0.02,10,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"230",0.2,0.2,0.5,0.02,20,0.733333333333333,0.76056338028169,0.703125,0.732340571205008
"231",0.2,0.2,0.5,0.02,40,0.688888888888889,0.71830985915493,0.65625,0.68781624934794
"232",0.2,0.2,0.5,0.02,60,0.718518518518519,0.746478873239437,0.6875,0.717499130585985
"233",0.2,0.2,0.5,0.02,10,0.733333333333333,0.676056338028169,0.796875,0.735421557120501
"234",0.2,0.2,0.5,0.02,20,0.688888888888889,0.633802816901408,0.75,0.690897235263432
"235",0.2,0.2,0.5,0.02,40,0.644444444444444,0.591549295774648,0.703125,0.646372913406364
"236",0.2,0.2,0.5,0.02,60,0.614814814814815,0.563380281690141,0.671875,0.616690032168319
"237",0.2,0.2,0.5,0.02,10,0.725925925925926,0.774647887323944,0.671875,0.724149604416623
"238",0.2,0.2,0.5,0.02,20,0.740740740740741,0.788732394366197,0.6875,0.738991045035646
"239",0.2,0.2,0.5,0.02,40,0.681481481481481,0.732394366197183,0.625,0.679625282559555
"240",0.2,0.2,0.5,0.02,60,0.77037037037037,0.816901408450704,0.71875,0.768673926273692
