"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.554621848739496,0.553846153846154,0.555555555555556,0.554674519380402
"2",0.2,0.2,0.2,0.01,20,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
"3",0.2,0.2,0.2,0.01,40,0.672268907563025,0.661538461538462,0.685185185185185,0.672997518095557
"4",0.2,0.2,0.2,0.01,60,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
"5",0.2,0.2,0.2,0.01,10,0.521008403361345,0.569230769230769,0.462962962962963,0.517734045185026
"6",0.2,0.2,0.2,0.01,20,0.53781512605042,0.584615384615385,0.481481481481481,0.534637330715762
"7",0.2,0.2,0.2,0.01,40,0.588235294117647,0.630769230769231,0.537037037037037,0.585347187307972
"8",0.2,0.2,0.2,0.01,60,0.621848739495798,0.661538461538462,0.574074074074074,0.619153758369445
"9",0.2,0.2,0.2,0.01,10,0.576271186440678,0.609375,0.537037037037037,0.574227741159238
"10",0.2,0.2,0.2,0.01,20,0.593220338983051,0.625,0.555555555555556,0.591258631512869
"11",0.2,0.2,0.2,0.01,40,0.559322033898305,0.59375,0.518518518518518,0.557196850805608
"12",0.2,0.2,0.2,0.01,60,0.576271186440678,0.609375,0.537037037037037,0.574227741159238
"13",0.2,0.2,0.2,0.02,10,0.571428571428571,0.569230769230769,0.574074074074074,0.571577804911138
"14",0.2,0.2,0.2,0.02,20,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
"15",0.2,0.2,0.2,0.02,40,0.605042016806723,0.6,0.611111111111111,0.605384375972611
"16",0.2,0.2,0.2,0.02,60,0.65546218487395,0.646153846153846,0.666666666666667,0.656094232564821
"17",0.2,0.2,0.2,0.02,10,0.521008403361345,0.569230769230769,0.462962962962963,0.517734045185026
"18",0.2,0.2,0.2,0.02,20,0.521008403361345,0.569230769230769,0.462962962962963,0.517734045185026
"19",0.2,0.2,0.2,0.02,40,0.571428571428571,0.615384615384615,0.518518518518518,0.568443901777235
"20",0.2,0.2,0.2,0.02,60,0.605042016806723,0.646153846153846,0.555555555555556,0.602250472838708
"21",0.2,0.2,0.2,0.02,10,0.542372881355932,0.578125,0.5,0.540165960451977
"22",0.2,0.2,0.2,0.02,20,0.576271186440678,0.609375,0.537037037037037,0.574227741159238
"23",0.2,0.2,0.2,0.02,40,0.508474576271186,0.546875,0.462962962962963,0.506104179744716
"24",0.2,0.2,0.2,0.02,60,0.559322033898305,0.59375,0.518518518518518,0.557196850805608
"25",0.2,0.2,0.2,0.03,10,0.554621848739496,0.553846153846154,0.555555555555556,0.554674519380402
"26",0.2,0.2,0.2,0.03,20,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
"27",0.2,0.2,0.2,0.03,40,0.605042016806723,0.6,0.611111111111111,0.605384375972611
"28",0.2,0.2,0.2,0.03,60,0.554621848739496,0.553846153846154,0.555555555555556,0.554674519380402
"29",0.2,0.2,0.2,0.03,10,0.53781512605042,0.584615384615385,0.481481481481481,0.534637330715762
"30",0.2,0.2,0.2,0.03,20,0.554621848739496,0.6,0.5,0.551540616246499
"31",0.2,0.2,0.2,0.03,40,0.571428571428571,0.615384615384615,0.518518518518518,0.568443901777235
"32",0.2,0.2,0.2,0.03,60,0.571428571428571,0.615384615384615,0.518518518518518,0.568443901777235
"33",0.2,0.2,0.2,0.03,10,0.525423728813559,0.5625,0.481481481481481,0.523135070098347
"34",0.2,0.2,0.2,0.03,20,0.559322033898305,0.59375,0.518518518518518,0.557196850805608
"35",0.2,0.2,0.2,0.03,40,0.593220338983051,0.625,0.555555555555556,0.591258631512869
"36",0.2,0.2,0.2,0.03,60,0.627118644067797,0.65625,0.592592592592593,0.62532041222013
"37",0.2,0.2,0.2,0.05,10,0.554621848739496,0.553846153846154,0.555555555555556,0.554674519380402
"38",0.2,0.2,0.2,0.05,20,0.521008403361345,0.523076923076923,0.518518518518518,0.520867948318929
"39",0.2,0.2,0.2,0.05,40,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
"40",0.2,0.2,0.2,0.05,60,0.588235294117647,0.584615384615385,0.592592592592593,0.588481090441875
