"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.646153846153846,0.753086419753086,0.469387755102041,0.622876007002991
"2",0.2,0.2,0.01,20,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"3",0.2,0.2,0.01,40,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"4",0.2,0.2,0.01,60,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"5",0.2,0.2,0.01,10,0.720930232558139,0.75,0.673469387755102,0.714799873437747
"6",0.2,0.2,0.01,20,0.705426356589147,0.7375,0.653061224489796,0.698662527026314
"7",0.2,0.2,0.01,40,0.643410852713178,0.6875,0.571428571428571,0.634113141380583
"8",0.2,0.2,0.01,60,0.643410852713178,0.6875,0.571428571428571,0.634113141380583
"9",0.2,0.2,0.01,10,0.720930232558139,0.7375,0.693877551020408,0.717435927859516
"10",0.2,0.2,0.01,20,0.689922480620155,0.7125,0.653061224489796,0.68516123503665
"11",0.2,0.2,0.01,40,0.689922480620155,0.7125,0.653061224489796,0.68516123503665
"12",0.2,0.2,0.01,60,0.65891472868217,0.6875,0.612244897959184,0.652886542213785
"13",0.2,0.2,0.02,10,0.661538461538462,0.765432098765432,0.489795918367347,0.63892215955708
"14",0.2,0.2,0.02,20,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"15",0.2,0.2,0.02,40,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"16",0.2,0.2,0.02,60,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"17",0.2,0.2,0.02,10,0.736434108527132,0.7625,0.693877551020408,0.73093721984918
"18",0.2,0.2,0.02,20,0.705426356589147,0.7375,0.653061224489796,0.698662527026314
"19",0.2,0.2,0.02,40,0.65891472868217,0.7,0.591836734693878,0.650250487792016
"20",0.2,0.2,0.02,60,0.612403100775194,0.6625,0.530612244897959,0.601838448557718
"21",0.2,0.2,0.02,10,0.736434108527132,0.75,0.714285714285714,0.733573274270949
"22",0.2,0.2,0.02,20,0.674418604651163,0.7,0.63265306122449,0.669023888625218
"23",0.2,0.2,0.02,40,0.65891472868217,0.6875,0.612244897959184,0.652886542213785
"24",0.2,0.2,0.02,60,0.65891472868217,0.6875,0.612244897959184,0.652886542213785
"25",0.2,0.2,0.03,10,0.630769230769231,0.740740740740741,0.448979591836735,0.606829854448902
"26",0.2,0.2,0.03,20,0.630769230769231,0.740740740740741,0.448979591836735,0.606829854448902
"27",0.2,0.2,0.03,40,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"28",0.2,0.2,0.03,60,0.692307692307692,0.790123456790123,0.530612244897959,0.671014464665258
"29",0.2,0.2,0.03,10,0.736434108527132,0.7625,0.693877551020408,0.73093721984918
"30",0.2,0.2,0.03,20,0.689922480620155,0.725,0.63265306122449,0.682525180614882
"31",0.2,0.2,0.03,40,0.627906976744186,0.675,0.551020408163265,0.61797579496915
"32",0.2,0.2,0.03,60,0.643410852713178,0.6875,0.571428571428571,0.634113141380583
"33",0.2,0.2,0.03,10,0.751937984496124,0.7625,0.73469387755102,0.749710620682381
"34",0.2,0.2,0.03,20,0.720930232558139,0.7375,0.693877551020408,0.717435927859516
"35",0.2,0.2,0.03,40,0.674418604651163,0.7,0.63265306122449,0.669023888625218
"36",0.2,0.2,0.03,60,0.674418604651163,0.7,0.63265306122449,0.669023888625218
