"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.706766917293233,0.760869565217391,0.585365853658537,0.684334112056387
"2",0.2,0.2,0.01,20,0.691729323308271,0.75,0.560975609756098,0.667568311021456
"3",0.2,0.2,0.01,40,0.706766917293233,0.760869565217391,0.585365853658537,0.684334112056387
"4",0.2,0.2,0.01,60,0.736842105263158,0.782608695652174,0.634146341463415,0.717865714126249
"5",0.2,0.2,0.01,10,0.772727272727273,0.835164835164835,0.634146341463415,0.747346149785174
"6",0.2,0.2,0.01,20,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"7",0.2,0.2,0.01,40,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"8",0.2,0.2,0.01,60,0.681818181818182,0.769230769230769,0.48780487804878,0.646284609699244
"9",0.2,0.2,0.01,10,0.75,0.846153846153846,0.536585365853659,0.710913070669168
"10",0.2,0.2,0.01,20,0.71969696969697,0.824175824175824,0.48780487804878,0.677225890640525
"11",0.2,0.2,0.01,40,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"12",0.2,0.2,0.01,60,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"13",0.2,0.2,0.02,10,0.691729323308271,0.75,0.560975609756098,0.667568311021456
"14",0.2,0.2,0.02,20,0.661654135338346,0.728260869565217,0.51219512195122,0.634036708951594
"15",0.2,0.2,0.02,40,0.736842105263158,0.782608695652174,0.634146341463415,0.717865714126249
"16",0.2,0.2,0.02,60,0.766917293233083,0.804347826086957,0.682926829268293,0.751397316196111
"17",0.2,0.2,0.02,10,0.757575757575758,0.824175824175824,0.609756097560976,0.730502559770852
"18",0.2,0.2,0.02,20,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"19",0.2,0.2,0.02,40,0.681818181818182,0.769230769230769,0.48780487804878,0.646284609699244
"20",0.2,0.2,0.02,60,0.712121212121212,0.791208791208791,0.536585365853659,0.679971789727887
"21",0.2,0.2,0.02,10,0.734848484848485,0.835164835164835,0.51219512195122,0.694069480654847
"22",0.2,0.2,0.02,20,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"23",0.2,0.2,0.02,40,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"24",0.2,0.2,0.02,60,0.674242424242424,0.791208791208791,0.414634146341463,0.62669512059756
"25",0.2,0.2,0.03,10,0.736842105263158,0.782608695652174,0.634146341463415,0.717865714126249
"26",0.2,0.2,0.03,20,0.691729323308271,0.75,0.560975609756098,0.667568311021456
"27",0.2,0.2,0.03,40,0.706766917293233,0.760869565217391,0.585365853658537,0.684334112056387
"28",0.2,0.2,0.03,60,0.75187969924812,0.793478260869565,0.658536585365854,0.73463151516118
"29",0.2,0.2,0.03,10,0.757575757575758,0.824175824175824,0.609756097560976,0.730502559770852
"30",0.2,0.2,0.03,20,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"31",0.2,0.2,0.03,40,0.651515151515151,0.747252747252747,0.439024390243902,0.6125974296706
"32",0.2,0.2,0.03,60,0.712121212121212,0.791208791208791,0.536585365853659,0.679971789727887
"33",0.2,0.2,0.03,10,0.765151515151515,0.857142857142857,0.560975609756098,0.72775666068349
"34",0.2,0.2,0.03,20,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"35",0.2,0.2,0.03,40,0.71969696969697,0.824175824175824,0.48780487804878,0.677225890640525
"36",0.2,0.2,0.03,60,0.71969696969697,0.824175824175824,0.48780487804878,0.677225890640525
"37",0.2,0.2,0.05,10,0.721804511278195,0.771739130434783,0.609756097560976,0.701099913091318
"38",0.2,0.2,0.05,20,0.706766917293233,0.760869565217391,0.585365853658537,0.684334112056387
"39",0.2,0.2,0.05,40,0.706766917293233,0.760869565217391,0.585365853658537,0.684334112056387
"40",0.2,0.2,0.05,60,0.766917293233083,0.804347826086957,0.682926829268293,0.751397316196111
"41",0.2,0.2,0.05,10,0.742424242424242,0.813186813186813,0.585365853658537,0.713658969756531
"42",0.2,0.2,0.05,20,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"43",0.2,0.2,0.05,40,0.757575757575758,0.824175824175824,0.609756097560976,0.730502559770852
"44",0.2,0.2,0.05,60,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"45",0.2,0.2,0.05,10,0.734848484848485,0.835164835164835,0.51219512195122,0.694069480654847
"46",0.2,0.2,0.05,20,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"47",0.2,0.2,0.05,40,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"48",0.2,0.2,0.05,60,0.71969696969697,0.824175824175824,0.48780487804878,0.677225890640525
"49",0.2,0.2,0.06,10,0.691729323308271,0.75,0.560975609756098,0.667568311021456
"50",0.2,0.2,0.06,20,0.691729323308271,0.75,0.560975609756098,0.667568311021456
"51",0.2,0.2,0.06,40,0.736842105263158,0.782608695652174,0.634146341463415,0.717865714126249
"52",0.2,0.2,0.06,60,0.736842105263158,0.782608695652174,0.634146341463415,0.717865714126249
"53",0.2,0.2,0.06,10,0.636363636363636,0.736263736263736,0.414634146341463,0.595753839656279
"54",0.2,0.2,0.06,20,0.696969696969697,0.78021978021978,0.51219512195122,0.663128199713566
"55",0.2,0.2,0.06,40,0.757575757575758,0.824175824175824,0.609756097560976,0.730502559770852
"56",0.2,0.2,0.06,60,0.681818181818182,0.769230769230769,0.48780487804878,0.646284609699244
"57",0.2,0.2,0.06,10,0.704545454545455,0.813186813186813,0.463414634146341,0.660382300626203
"58",0.2,0.2,0.06,20,0.689393939393939,0.802197802197802,0.439024390243902,0.643538710611881
"59",0.2,0.2,0.06,40,0.674242424242424,0.791208791208791,0.414634146341463,0.62669512059756
"60",0.2,0.2,0.06,60,0.689393939393939,0.802197802197802,0.439024390243902,0.643538710611881
