"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.598540145985402,0.677777777777778,0.446808510638298,0.574375478133826
"2",0.2,0.2,0.2,0.01,20,0.627737226277372,0.7,0.48936170212766,0.605699642801677
"3",0.2,0.2,0.2,0.01,40,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"4",0.2,0.2,0.2,0.01,60,0.671532846715328,0.733333333333333,0.553191489361702,0.652685889803455
"5",0.2,0.2,0.2,0.01,10,0.627737226277372,0.722222222222222,0.446808510638298,0.598922653045964
"6",0.2,0.2,0.2,0.01,20,0.613138686131387,0.711111111111111,0.425531914893617,0.583260570712038
"7",0.2,0.2,0.2,0.01,40,0.554744525547445,0.666666666666667,0.340425531914894,0.520612241376335
"8",0.2,0.2,0.2,0.01,60,0.554744525547445,0.666666666666667,0.340425531914894,0.520612241376335
"9",0.2,0.2,0.2,0.01,10,0.551470588235294,0.666666666666667,0.326086956521739,0.5147414038079
"10",0.2,0.2,0.2,0.01,20,0.580882352941177,0.688888888888889,0.369565217391304,0.546445486407123
"11",0.2,0.2,0.2,0.01,40,0.610294117647059,0.711111111111111,0.41304347826087,0.578149569006347
"12",0.2,0.2,0.2,0.01,60,0.595588235294118,0.7,0.391304347826087,0.562297527706735
"13",0.2,0.2,0.2,0.02,10,0.627737226277372,0.7,0.48936170212766,0.605699642801677
"14",0.2,0.2,0.2,0.02,20,0.656934306569343,0.722222222222222,0.531914893617021,0.637023807469529
"15",0.2,0.2,0.2,0.02,40,0.671532846715328,0.733333333333333,0.553191489361702,0.652685889803455
"16",0.2,0.2,0.2,0.02,60,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"17",0.2,0.2,0.2,0.02,10,0.598540145985402,0.7,0.404255319148936,0.567598488378113
"18",0.2,0.2,0.2,0.02,20,0.598540145985402,0.7,0.404255319148936,0.567598488378113
"19",0.2,0.2,0.2,0.02,40,0.569343065693431,0.677777777777778,0.361702127659574,0.536274323710261
"20",0.2,0.2,0.2,0.02,60,0.569343065693431,0.677777777777778,0.361702127659574,0.536274323710261
"21",0.2,0.2,0.2,0.02,10,0.566176470588235,0.677777777777778,0.347826086956522,0.530593445107512
"22",0.2,0.2,0.2,0.02,20,0.610294117647059,0.711111111111111,0.41304347826087,0.578149569006347
"23",0.2,0.2,0.2,0.02,40,0.595588235294118,0.7,0.391304347826087,0.562297527706735
"24",0.2,0.2,0.2,0.02,60,0.580882352941177,0.688888888888889,0.369565217391304,0.546445486407123
"25",0.2,0.2,0.2,0.03,10,0.598540145985402,0.677777777777778,0.446808510638298,0.574375478133826
"26",0.2,0.2,0.2,0.03,20,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"27",0.2,0.2,0.2,0.03,40,0.627737226277372,0.7,0.48936170212766,0.605699642801677
"28",0.2,0.2,0.2,0.03,60,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"29",0.2,0.2,0.2,0.03,10,0.627737226277372,0.722222222222222,0.446808510638298,0.598922653045964
"30",0.2,0.2,0.2,0.03,20,0.613138686131387,0.711111111111111,0.425531914893617,0.583260570712038
"31",0.2,0.2,0.2,0.03,40,0.569343065693431,0.677777777777778,0.361702127659574,0.536274323710261
"32",0.2,0.2,0.2,0.03,60,0.613138686131387,0.711111111111111,0.425531914893617,0.583260570712038
"33",0.2,0.2,0.2,0.03,10,0.566176470588235,0.677777777777778,0.347826086956522,0.530593445107512
"34",0.2,0.2,0.2,0.03,20,0.566176470588235,0.677777777777778,0.347826086956522,0.530593445107512
"35",0.2,0.2,0.2,0.03,40,0.595588235294118,0.7,0.391304347826087,0.562297527706735
"36",0.2,0.2,0.2,0.03,60,0.610294117647059,0.711111111111111,0.41304347826087,0.578149569006347
"37",0.2,0.2,0.2,0.05,10,0.54014598540146,0.633333333333333,0.361702127659574,0.511727148798123
"38",0.2,0.2,0.2,0.05,20,0.671532846715328,0.733333333333333,0.553191489361702,0.652685889803455
"39",0.2,0.2,0.2,0.05,40,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"40",0.2,0.2,0.2,0.05,60,0.613138686131387,0.688888888888889,0.468085106382979,0.590037560467751
"41",0.2,0.2,0.2,0.05,10,0.496350364963504,0.622222222222222,0.25531914893617,0.457963912040632
"42",0.2,0.2,0.2,0.05,20,0.598540145985402,0.7,0.404255319148936,0.567598488378113
"43",0.2,0.2,0.2,0.05,40,0.715328467153285,0.788888888888889,0.574468085106383,0.692895147049519
"44",0.2,0.2,0.2,0.05,60,0.613138686131387,0.711111111111111,0.425531914893617,0.583260570712038
"45",0.2,0.2,0.2,0.05,10,0.625,0.722222222222222,0.434782608695652,0.594001610305958
"46",0.2,0.2,0.2,0.05,20,0.536764705882353,0.655555555555556,0.304347826086957,0.498889362508288
"47",0.2,0.2,0.2,0.05,40,0.625,0.722222222222222,0.434782608695652,0.594001610305958
"48",0.2,0.2,0.2,0.05,60,0.580882352941177,0.688888888888889,0.369565217391304,0.546445486407123
"49",0.2,0.2,0.2,0.06,10,0.54014598540146,0.633333333333333,0.361702127659574,0.511727148798123
"50",0.2,0.2,0.2,0.06,20,0.627737226277372,0.7,0.48936170212766,0.605699642801677
"51",0.2,0.2,0.2,0.06,40,0.467153284671533,0.577777777777778,0.25531914893617,0.433416737128494
"52",0.2,0.2,0.2,0.06,60,0.510948905109489,0.611111111111111,0.319148936170213,0.480402984130271
"53",0.2,0.2,0.2,0.06,10,0.481751824817518,0.611111111111111,0.234042553191489,0.442301829706706
"54",0.2,0.2,0.2,0.06,20,0.510948905109489,0.633333333333333,0.276595744680851,0.473625994374558
"55",0.2,0.2,0.2,0.06,40,0.569343065693431,0.677777777777778,0.361702127659574,0.536274323710261
"56",0.2,0.2,0.2,0.06,60,0.583941605839416,0.688888888888889,0.382978723404255,0.551936406044187
"57",0.2,0.2,0.2,0.06,10,0.610294117647059,0.711111111111111,0.41304347826087,0.578149569006347
"58",0.2,0.2,0.2,0.06,20,0.507352941176471,0.633333333333333,0.260869565217391,0.467185279909065
"59",0.2,0.2,0.2,0.06,40,0.522058823529412,0.644444444444444,0.282608695652174,0.483037321208677
"60",0.2,0.2,0.2,0.06,60,0.448529411764706,0.588888888888889,0.173913043478261,0.403777114710619
"61",0.2,0.2,0.2,0.1,10,0.554744525547445,0.644444444444444,0.382978723404255,0.527389231132048
"62",0.2,0.2,0.2,0.1,20,0.554744525547445,0.644444444444444,0.382978723404255,0.527389231132048
"63",0.2,0.2,0.2,0.1,40,0.481751824817518,0.588888888888889,0.276595744680851,0.449078819462419
"64",0.2,0.2,0.2,0.1,60,0.583941605839416,0.666666666666667,0.425531914893617,0.5587133957999
"65",0.2,0.2,0.2,0.1,10,0.510948905109489,0.633333333333333,0.276595744680851,0.473625994374558
"66",0.2,0.2,0.2,0.1,20,0.510948905109489,0.633333333333333,0.276595744680851,0.473625994374558
"67",0.2,0.2,0.2,0.1,40,0.569343065693431,0.677777777777778,0.361702127659574,0.536274323710261
"68",0.2,0.2,0.2,0.1,60,0.510948905109489,0.633333333333333,0.276595744680851,0.473625994374558
