"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.717391304347826,0.794871794871795,0.616666666666667,0.709643255295429
"2",0.2,0.2,0.2,0.01,20,0.659420289855073,0.743589743589744,0.55,0.651003344481605
"3",0.2,0.2,0.2,0.01,40,0.688405797101449,0.769230769230769,0.583333333333333,0.680323299888517
"4",0.2,0.2,0.2,0.01,60,0.717391304347826,0.794871794871795,0.616666666666667,0.709643255295429
"5",0.2,0.2,0.2,0.01,10,0.72463768115942,0.756410256410256,0.683333333333333,0.721460423634337
"6",0.2,0.2,0.2,0.01,20,0.710144927536232,0.743589743589744,0.666666666666667,0.706800445930881
"7",0.2,0.2,0.2,0.01,40,0.695652173913043,0.730769230769231,0.65,0.692140468227425
"8",0.2,0.2,0.2,0.01,60,0.695652173913043,0.730769230769231,0.65,0.692140468227425
"9",0.2,0.2,0.2,0.01,10,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"10",0.2,0.2,0.2,0.01,20,0.594202898550725,0.602564102564103,0.583333333333333,0.593366778149387
"11",0.2,0.2,0.2,0.01,40,0.63768115942029,0.641025641025641,0.633333333333333,0.637346711259755
"12",0.2,0.2,0.2,0.01,60,0.623188405797101,0.628205128205128,0.616666666666667,0.622686733556299
"13",0.2,0.2,0.2,0.02,10,0.731884057971015,0.807692307692308,0.633333333333333,0.724303232998885
"14",0.2,0.2,0.2,0.02,20,0.688405797101449,0.769230769230769,0.583333333333333,0.680323299888517
"15",0.2,0.2,0.2,0.02,40,0.644927536231884,0.730769230769231,0.533333333333333,0.636343366778149
"16",0.2,0.2,0.2,0.02,60,0.673913043478261,0.756410256410256,0.566666666666667,0.665663322185061
"17",0.2,0.2,0.2,0.02,10,0.72463768115942,0.756410256410256,0.683333333333333,0.721460423634337
"18",0.2,0.2,0.2,0.02,20,0.695652173913043,0.730769230769231,0.65,0.692140468227425
"19",0.2,0.2,0.2,0.02,40,0.710144927536232,0.743589743589744,0.666666666666667,0.706800445930881
"20",0.2,0.2,0.2,0.02,60,0.652173913043478,0.692307692307692,0.6,0.648160535117057
"21",0.2,0.2,0.2,0.02,10,0.652173913043478,0.653846153846154,0.65,0.652006688963211
