"","gota1","gota2","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.01,10,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"2",0.2,0.2,0.01,20,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"3",0.2,0.2,0.01,40,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"4",0.2,0.2,0.01,60,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"5",0.2,0.2,0.01,10,0.76551724137931,0.795454545454545,0.719298245614035,0.760090010815964
"6",0.2,0.2,0.01,20,0.793103448275862,0.818181818181818,0.754385964912281,0.78855707712332
"7",0.2,0.2,0.01,40,0.76551724137931,0.795454545454545,0.719298245614035,0.760090010815964
"8",0.2,0.2,0.01,60,0.76551724137931,0.795454545454545,0.719298245614035,0.760090010815964
"9",0.2,0.2,0.01,10,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"10",0.2,0.2,0.01,20,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"11",0.2,0.2,0.01,40,0.772413793103448,0.795454545454545,0.736842105263158,0.768236814607051
"12",0.2,0.2,0.01,60,0.744827586206897,0.772727272727273,0.701754385964912,0.739769748299694
"13",0.2,0.2,0.02,10,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"14",0.2,0.2,0.02,20,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"15",0.2,0.2,0.02,40,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"16",0.2,0.2,0.02,60,0.794520547945205,0.853932584269663,0.701754385964912,0.783402506059927
"17",0.2,0.2,0.02,10,0.76551724137931,0.795454545454545,0.719298245614035,0.760090010815964
"18",0.2,0.2,0.02,20,0.806896551724138,0.829545454545455,0.771929824561403,0.802790610276999
"19",0.2,0.2,0.02,40,0.793103448275862,0.818181818181818,0.754385964912281,0.78855707712332
"20",0.2,0.2,0.02,60,0.806896551724138,0.829545454545455,0.771929824561403,0.802790610276999
"21",0.2,0.2,0.02,10,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"22",0.2,0.2,0.02,20,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"23",0.2,0.2,0.02,40,0.758620689655172,0.784090909090909,0.719298245614035,0.754003281453372
"24",0.2,0.2,0.02,60,0.758620689655172,0.784090909090909,0.719298245614035,0.754003281453372
"25",0.2,0.2,0.03,10,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"26",0.2,0.2,0.03,20,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"27",0.2,0.2,0.03,40,0.794520547945205,0.853932584269663,0.701754385964912,0.783402506059927
"28",0.2,0.2,0.03,60,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"29",0.2,0.2,0.03,10,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"30",0.2,0.2,0.03,20,0.779310344827586,0.806818181818182,0.736842105263158,0.774323543969642
"31",0.2,0.2,0.03,40,0.751724137931034,0.784090909090909,0.701754385964912,0.745856477662285
"32",0.2,0.2,0.03,60,0.724137931034483,0.761363636363636,0.666666666666667,0.717389411354929
"33",0.2,0.2,0.03,10,0.758620689655172,0.784090909090909,0.719298245614035,0.754003281453372
"34",0.2,0.2,0.03,20,0.772413793103448,0.795454545454545,0.736842105263158,0.768236814607051
"35",0.2,0.2,0.03,40,0.772413793103448,0.795454545454545,0.736842105263158,0.768236814607051
"36",0.2,0.2,0.03,60,0.772413793103448,0.795454545454545,0.736842105263158,0.768236814607051
"37",0.2,0.2,0.05,10,0.534246575342466,0.640449438202247,0.368421052631579,0.514372355392097
"38",0.2,0.2,0.05,20,0.835616438356164,0.887640449438202,0.754385964912281,0.825880950902216
"39",0.2,0.2,0.05,40,0.808219178082192,0.865168539325843,0.719298245614035,0.797561987674023
"40",0.2,0.2,0.05,60,0.780821917808219,0.842696629213483,0.684210526315789,0.769243024445831
"41",0.2,0.2,0.05,10,0.696551724137931,0.738636363636364,0.631578947368421,0.688922345047572
"42",0.2,0.2,0.05,20,0.779310344827586,0.806818181818182,0.736842105263158,0.774323543969642
"43",0.2,0.2,0.05,40,0.682758620689655,0.727272727272727,0.614035087719298,0.674688811893894
"44",0.2,0.2,0.05,60,0.724137931034483,0.761363636363636,0.666666666666667,0.717389411354929
"45",0.2,0.2,0.05,10,0.731034482758621,0.761363636363636,0.684210526315789,0.725536215146016
"46",0.2,0.2,0.05,20,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"47",0.2,0.2,0.05,40,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"48",0.2,0.2,0.05,60,0.772413793103448,0.795454545454545,0.736842105263158,0.768236814607051
"49",0.2,0.2,0.06,10,0.534246575342466,0.640449438202247,0.368421052631579,0.514372355392097
