"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.863013698630137,0.910112359550562,0.789473684210526,0.854199914130409
"2",0.2,0.2,0.2,0.01,20,0.753424657534247,0.820224719101124,0.649122807017544,0.740924061217638
"3",0.2,0.2,0.2,0.01,40,0.73972602739726,0.808988764044944,0.631578947368421,0.726764579603542
"4",0.2,0.2,0.2,0.01,60,0.726027397260274,0.797752808988764,0.614035087719298,0.712605097989445
"5",0.2,0.2,0.2,0.01,10,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"6",0.2,0.2,0.2,0.01,20,0.724137931034483,0.761363636363636,0.666666666666667,0.717389411354929
"7",0.2,0.2,0.2,0.01,40,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"8",0.2,0.2,0.2,0.01,60,0.696551724137931,0.738636363636364,0.631578947368421,0.688922345047572
"9",0.2,0.2,0.2,0.01,10,0.8,0.818181818181818,0.771929824561403,0.796703880914407
"10",0.2,0.2,0.2,0.01,20,0.731034482758621,0.761363636363636,0.684210526315789,0.725536215146016
"11",0.2,0.2,0.2,0.01,40,0.703448275862069,0.738636363636364,0.649122807017544,0.697069148838659
"12",0.2,0.2,0.2,0.01,60,0.675862068965517,0.715909090909091,0.614035087719298,0.668602082531302
"13",0.2,0.2,0.2,0.02,10,0.863013698630137,0.910112359550562,0.789473684210526,0.854199914130409
"14",0.2,0.2,0.2,0.02,20,0.73972602739726,0.808988764044944,0.631578947368421,0.726764579603542
"15",0.2,0.2,0.2,0.02,40,0.726027397260274,0.797752808988764,0.614035087719298,0.712605097989445
"16",0.2,0.2,0.2,0.02,60,0.780821917808219,0.842696629213483,0.684210526315789,0.769243024445831
"17",0.2,0.2,0.2,0.02,10,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"18",0.2,0.2,0.2,0.02,20,0.710344827586207,0.75,0.649122807017544,0.70315587820125
"19",0.2,0.2,0.2,0.02,40,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"20",0.2,0.2,0.2,0.02,60,0.696551724137931,0.738636363636364,0.631578947368421,0.688922345047572
"21",0.2,0.2,0.2,0.02,10,0.8,0.818181818181818,0.771929824561403,0.796703880914407
"22",0.2,0.2,0.2,0.02,20,0.717241379310345,0.75,0.666666666666667,0.711302681992337
"23",0.2,0.2,0.2,0.02,40,0.731034482758621,0.761363636363636,0.684210526315789,0.725536215146016
"24",0.2,0.2,0.2,0.02,60,0.717241379310345,0.75,0.666666666666667,0.711302681992337
"25",0.2,0.2,0.2,0.03,10,0.849315068493151,0.898876404494382,0.771929824561403,0.840040432516312
"26",0.2,0.2,0.2,0.03,20,0.73972602739726,0.808988764044944,0.631578947368421,0.726764579603542
"27",0.2,0.2,0.2,0.03,40,0.726027397260274,0.797752808988764,0.614035087719298,0.712605097989445
"28",0.2,0.2,0.2,0.03,60,0.712328767123288,0.786516853932584,0.596491228070175,0.698445616375349
"29",0.2,0.2,0.2,0.03,10,0.76551724137931,0.795454545454545,0.719298245614035,0.760090010815964
"30",0.2,0.2,0.2,0.03,20,0.710344827586207,0.75,0.649122807017544,0.70315587820125
"31",0.2,0.2,0.2,0.03,40,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"32",0.2,0.2,0.2,0.03,60,0.737931034482759,0.772727272727273,0.684210526315789,0.731622944508607
"33",0.2,0.2,0.2,0.03,10,0.786206896551724,0.806818181818182,0.754385964912281,0.782470347760729
"34",0.2,0.2,0.2,0.03,20,0.731034482758621,0.761363636363636,0.684210526315789,0.725536215146016
"35",0.2,0.2,0.2,0.03,40,0.703448275862069,0.738636363636364,0.649122807017544,0.697069148838659
"36",0.2,0.2,0.2,0.03,60,0.731034482758621,0.761363636363636,0.684210526315789,0.725536215146016
"37",0.2,0.2,0.2,0.05,10,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"38",0.2,0.2,0.2,0.05,20,0.821917808219178,0.876404494382023,0.736842105263158,0.81172146928812
"39",0.2,0.2,0.2,0.05,40,0.767123287671233,0.831460674157303,0.666666666666667,0.755083542831734
