"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"2",0.2,0.2,0.2,0.01,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"3",0.2,0.2,0.2,0.01,40,0.625,0.694117647058824,0.488372093023256,0.60249658002736
"4",0.2,0.2,0.2,0.01,60,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"5",0.2,0.2,0.2,0.01,10,0.732283464566929,0.80952380952381,0.581395348837209,0.707734207642649
"6",0.2,0.2,0.2,0.01,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"7",0.2,0.2,0.2,0.01,40,0.700787401574803,0.785714285714286,0.534883720930233,0.673795136073107
"8",0.2,0.2,0.2,0.01,60,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"9",0.2,0.2,0.2,0.01,10,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"10",0.2,0.2,0.2,0.01,20,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"11",0.2,0.2,0.2,0.01,40,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"12",0.2,0.2,0.2,0.01,60,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"13",0.2,0.2,0.2,0.02,10,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"14",0.2,0.2,0.2,0.02,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"15",0.2,0.2,0.2,0.02,40,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"16",0.2,0.2,0.2,0.02,60,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"17",0.2,0.2,0.2,0.02,10,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"18",0.2,0.2,0.2,0.02,20,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"19",0.2,0.2,0.2,0.02,40,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"20",0.2,0.2,0.2,0.02,60,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"21",0.2,0.2,0.2,0.02,10,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"22",0.2,0.2,0.2,0.02,20,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"23",0.2,0.2,0.2,0.02,40,0.669291338582677,0.75,0.511627906976744,0.643639748519807
"24",0.2,0.2,0.2,0.02,60,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"25",0.2,0.2,0.2,0.03,10,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"26",0.2,0.2,0.2,0.03,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"27",0.2,0.2,0.2,0.03,40,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"28",0.2,0.2,0.2,0.03,60,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"29",0.2,0.2,0.2,0.03,10,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"30",0.2,0.2,0.2,0.03,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"31",0.2,0.2,0.2,0.03,40,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"32",0.2,0.2,0.2,0.03,60,0.606299212598425,0.714285714285714,0.395348837209302,0.571977921364481
"33",0.2,0.2,0.2,0.03,10,0.637795275590551,0.726190476190476,0.465116279069767,0.609700676950265
"34",0.2,0.2,0.2,0.03,20,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"35",0.2,0.2,0.2,0.03,40,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"36",0.2,0.2,0.2,0.03,60,0.669291338582677,0.75,0.511627906976744,0.643639748519807
"37",0.2,0.2,0.2,0.05,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"38",0.2,0.2,0.2,0.05,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"39",0.2,0.2,0.2,0.05,40,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"40",0.2,0.2,0.2,0.05,60,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"41",0.2,0.2,0.2,0.05,10,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"42",0.2,0.2,0.2,0.05,20,0.748031496062992,0.821428571428571,0.604651162790698,0.72470374342742
"43",0.2,0.2,0.2,0.05,40,0.700787401574803,0.785714285714286,0.534883720930233,0.673795136073107
"44",0.2,0.2,0.2,0.05,60,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"45",0.2,0.2,0.2,0.05,10,0.622047244094488,0.714285714285714,0.441860465116279,0.592731141165494
"46",0.2,0.2,0.2,0.05,20,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"47",0.2,0.2,0.2,0.05,40,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"48",0.2,0.2,0.2,0.05,60,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"49",0.2,0.2,0.2,0.06,10,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"50",0.2,0.2,0.2,0.06,20,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"51",0.2,0.2,0.2,0.06,40,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"52",0.2,0.2,0.2,0.06,60,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"53",0.2,0.2,0.2,0.06,10,0.622047244094488,0.726190476190476,0.418604651162791,0.588947457149252
"54",0.2,0.2,0.2,0.06,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"55",0.2,0.2,0.2,0.06,40,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"56",0.2,0.2,0.2,0.06,60,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"57",0.2,0.2,0.2,0.06,10,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"58",0.2,0.2,0.2,0.06,20,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"59",0.2,0.2,0.2,0.06,40,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"60",0.2,0.2,0.2,0.06,60,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"61",0.2,0.2,0.2,0.1,10,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"62",0.2,0.2,0.2,0.1,20,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"63",0.2,0.2,0.2,0.1,40,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"64",0.2,0.2,0.2,0.1,60,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"65",0.2,0.2,0.2,0.1,10,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"66",0.2,0.2,0.2,0.1,20,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"67",0.2,0.2,0.2,0.1,40,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"68",0.2,0.2,0.2,0.1,60,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"69",0.2,0.2,0.2,0.1,10,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"70",0.2,0.2,0.2,0.1,20,0.574803149606299,0.678571428571429,0.372093023255814,0.541822533811181
"71",0.2,0.2,0.2,0.1,40,0.574803149606299,0.678571428571429,0.372093023255814,0.541822533811181
"72",0.2,0.2,0.2,0.1,60,0.543307086614173,0.654761904761905,0.325581395348837,0.507883462241638
"73",0.2,0.2,0.3,0.01,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"74",0.2,0.2,0.3,0.01,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"75",0.2,0.2,0.3,0.01,40,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"76",0.2,0.2,0.3,0.01,60,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"77",0.2,0.2,0.3,0.01,10,0.732283464566929,0.80952380952381,0.581395348837209,0.707734207642649
"78",0.2,0.2,0.3,0.01,20,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"79",0.2,0.2,0.3,0.01,40,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"80",0.2,0.2,0.3,0.01,60,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"81",0.2,0.2,0.3,0.01,10,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"82",0.2,0.2,0.3,0.01,20,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"83",0.2,0.2,0.3,0.01,40,0.653543307086614,0.738095238095238,0.488372093023256,0.626670212735036
"84",0.2,0.2,0.3,0.01,60,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"85",0.2,0.2,0.3,0.02,10,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"86",0.2,0.2,0.3,0.02,20,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"87",0.2,0.2,0.3,0.02,40,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"88",0.2,0.2,0.3,0.02,60,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"89",0.2,0.2,0.3,0.02,10,0.700787401574803,0.785714285714286,0.534883720930233,0.673795136073107
"90",0.2,0.2,0.3,0.02,20,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"91",0.2,0.2,0.3,0.02,40,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"92",0.2,0.2,0.3,0.02,60,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"93",0.2,0.2,0.3,0.02,10,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"94",0.2,0.2,0.3,0.02,20,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"95",0.2,0.2,0.3,0.02,40,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"96",0.2,0.2,0.3,0.02,60,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"97",0.2,0.2,0.3,0.03,10,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"98",0.2,0.2,0.3,0.03,20,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"99",0.2,0.2,0.3,0.03,40,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"100",0.2,0.2,0.3,0.03,60,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"101",0.2,0.2,0.3,0.03,10,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"102",0.2,0.2,0.3,0.03,20,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"103",0.2,0.2,0.3,0.03,40,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"104",0.2,0.2,0.3,0.03,60,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"105",0.2,0.2,0.3,0.03,10,0.748031496062992,0.80952380952381,0.627906976744186,0.728487427443663
"106",0.2,0.2,0.3,0.03,20,0.637795275590551,0.726190476190476,0.465116279069767,0.609700676950265
"107",0.2,0.2,0.3,0.03,40,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"108",0.2,0.2,0.3,0.03,60,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"109",0.2,0.2,0.3,0.05,10,0.71875,0.764705882352941,0.627906976744186,0.703787619699042
"110",0.2,0.2,0.3,0.05,20,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"111",0.2,0.2,0.3,0.05,40,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"112",0.2,0.2,0.3,0.05,60,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"113",0.2,0.2,0.3,0.05,10,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"114",0.2,0.2,0.3,0.05,20,0.763779527559055,0.833333333333333,0.627906976744186,0.741673279212192
"115",0.2,0.2,0.3,0.05,40,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"116",0.2,0.2,0.3,0.05,60,0.700787401574803,0.785714285714286,0.534883720930233,0.673795136073107
"117",0.2,0.2,0.3,0.05,10,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"118",0.2,0.2,0.3,0.05,20,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"119",0.2,0.2,0.3,0.05,40,0.748031496062992,0.80952380952381,0.627906976744186,0.728487427443663
"120",0.2,0.2,0.3,0.05,60,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"121",0.2,0.2,0.3,0.06,10,0.625,0.694117647058824,0.488372093023256,0.60249658002736
"122",0.2,0.2,0.3,0.06,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"123",0.2,0.2,0.3,0.06,40,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"124",0.2,0.2,0.3,0.06,60,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"125",0.2,0.2,0.3,0.06,10,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"126",0.2,0.2,0.3,0.06,20,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"127",0.2,0.2,0.3,0.06,40,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"128",0.2,0.2,0.3,0.06,60,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"129",0.2,0.2,0.3,0.06,10,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"130",0.2,0.2,0.3,0.06,20,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"131",0.2,0.2,0.3,0.06,40,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"132",0.2,0.2,0.3,0.06,60,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"133",0.2,0.2,0.3,0.1,10,0.59375,0.670588235294118,0.441860465116279,0.568732900136799
"134",0.2,0.2,0.3,0.1,20,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"135",0.2,0.2,0.3,0.1,40,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"136",0.2,0.2,0.3,0.1,60,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"137",0.2,0.2,0.3,0.1,10,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"138",0.2,0.2,0.3,0.1,20,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"139",0.2,0.2,0.3,0.1,40,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"140",0.2,0.2,0.3,0.1,60,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"141",0.2,0.2,0.3,0.1,10,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"142",0.2,0.2,0.3,0.1,20,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"143",0.2,0.2,0.3,0.1,40,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"144",0.2,0.2,0.3,0.1,60,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"145",0.2,0.2,0.4,0.01,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"146",0.2,0.2,0.4,0.01,20,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"147",0.2,0.2,0.4,0.01,40,0.71875,0.764705882352941,0.627906976744186,0.703787619699042
"148",0.2,0.2,0.4,0.01,60,0.65625,0.717647058823529,0.534883720930233,0.636260259917921
"149",0.2,0.2,0.4,0.01,10,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"150",0.2,0.2,0.4,0.01,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"151",0.2,0.2,0.4,0.01,40,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"152",0.2,0.2,0.4,0.01,60,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"153",0.2,0.2,0.4,0.01,10,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"154",0.2,0.2,0.4,0.01,20,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"155",0.2,0.2,0.4,0.01,40,0.653543307086614,0.738095238095238,0.488372093023256,0.626670212735036
"156",0.2,0.2,0.4,0.01,60,0.748031496062992,0.80952380952381,0.627906976744186,0.728487427443663
"157",0.2,0.2,0.4,0.02,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"158",0.2,0.2,0.4,0.02,20,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"159",0.2,0.2,0.4,0.02,40,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"160",0.2,0.2,0.4,0.02,60,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"161",0.2,0.2,0.4,0.02,10,0.748031496062992,0.821428571428571,0.604651162790698,0.72470374342742
"162",0.2,0.2,0.4,0.02,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"163",0.2,0.2,0.4,0.02,40,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"164",0.2,0.2,0.4,0.02,60,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"165",0.2,0.2,0.4,0.02,10,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"166",0.2,0.2,0.4,0.02,20,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"167",0.2,0.2,0.4,0.02,40,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"168",0.2,0.2,0.4,0.02,60,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"169",0.2,0.2,0.4,0.03,10,0.59375,0.670588235294118,0.441860465116279,0.568732900136799
"170",0.2,0.2,0.4,0.03,20,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"171",0.2,0.2,0.4,0.03,40,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"172",0.2,0.2,0.4,0.03,60,0.6875,0.741176470588235,0.581395348837209,0.670023939808482
"173",0.2,0.2,0.4,0.03,10,0.700787401574803,0.785714285714286,0.534883720930233,0.673795136073107
"174",0.2,0.2,0.4,0.03,20,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"175",0.2,0.2,0.4,0.03,40,0.637795275590551,0.738095238095238,0.441860465116279,0.605916992934023
"176",0.2,0.2,0.4,0.03,60,0.653543307086614,0.75,0.465116279069767,0.622886528718794
"177",0.2,0.2,0.4,0.03,10,0.637795275590551,0.726190476190476,0.465116279069767,0.609700676950265
"178",0.2,0.2,0.4,0.03,20,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"179",0.2,0.2,0.4,0.03,40,0.716535433070866,0.785714285714286,0.581395348837209,0.69454835587412
"180",0.2,0.2,0.4,0.03,60,0.700787401574803,0.773809523809524,0.558139534883721,0.677578820089349
"181",0.2,0.2,0.4,0.05,10,0.703125,0.752941176470588,0.604651162790698,0.686905779753762
"182",0.2,0.2,0.4,0.05,20,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"183",0.2,0.2,0.4,0.05,40,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"184",0.2,0.2,0.4,0.05,60,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"185",0.2,0.2,0.4,0.05,10,0.622047244094488,0.726190476190476,0.418604651162791,0.588947457149252
"186",0.2,0.2,0.4,0.05,20,0.68503937007874,0.773809523809524,0.511627906976744,0.656825600288336
"187",0.2,0.2,0.4,0.05,40,0.716535433070866,0.797619047619048,0.558139534883721,0.690764671857878
"188",0.2,0.2,0.4,0.05,60,0.669291338582677,0.761904761904762,0.488372093023256,0.639856064503565
"189",0.2,0.2,0.4,0.05,10,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"190",0.2,0.2,0.4,0.05,20,0.732283464566929,0.797619047619048,0.604651162790698,0.711517891658891
"191",0.2,0.2,0.4,0.05,40,0.669291338582677,0.75,0.511627906976744,0.643639748519807
"192",0.2,0.2,0.4,0.05,60,0.68503937007874,0.761904761904762,0.534883720930233,0.660609284304578
"193",0.2,0.2,0.4,0.06,10,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"194",0.2,0.2,0.4,0.06,20,0.640625,0.705882352941177,0.511627906976744,0.61937841997264
"195",0.2,0.2,0.4,0.06,40,0.671875,0.729411764705882,0.558139534883721,0.653142099863201
"196",0.2,0.2,0.4,0.06,60,0.71875,0.764705882352941,0.627906976744186,0.703787619699042
"197",0.2,0.2,0.4,0.06,10,0.574803149606299,0.69047619047619,0.348837209302326,0.538038849794938
"198",0.2,0.2,0.4,0.06,20,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"199",0.2,0.2,0.4,0.06,40,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"200",0.2,0.2,0.4,0.06,60,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"201",0.2,0.2,0.4,0.06,10,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"202",0.2,0.2,0.4,0.06,20,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"203",0.2,0.2,0.4,0.06,40,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"204",0.2,0.2,0.4,0.06,60,0.559055118110236,0.666666666666667,0.348837209302326,0.52485299802641
"205",0.2,0.2,0.4,0.1,10,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"206",0.2,0.2,0.4,0.1,20,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"207",0.2,0.2,0.4,0.1,40,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"208",0.2,0.2,0.4,0.1,60,0.5625,0.647058823529412,0.395348837209302,0.534969220246238
"209",0.2,0.2,0.4,0.1,10,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"210",0.2,0.2,0.4,0.1,20,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
"211",0.2,0.2,0.4,0.1,40,0.590551181102362,0.702380952380952,0.372093023255814,0.55500838557971
