"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.790540540540541,0.826923076923077,0.704545454545455,0.774003024003024
"2",0.2,0.2,0.2,0.01,20,0.777027027027027,0.817307692307692,0.681818181818182,0.758717633717634
"3",0.2,0.2,0.2,0.01,40,0.763513513513513,0.807692307692308,0.659090909090909,0.743432243432243
"4",0.2,0.2,0.2,0.01,60,0.763513513513513,0.807692307692308,0.659090909090909,0.743432243432243
"5",0.2,0.2,0.2,0.01,10,0.804054054054054,0.865384615384615,0.659090909090909,0.776176526176526
"6",0.2,0.2,0.2,0.01,20,0.790540540540541,0.855769230769231,0.636363636363636,0.760891135891136
"7",0.2,0.2,0.2,0.01,40,0.804054054054054,0.865384615384615,0.659090909090909,0.776176526176526
"8",0.2,0.2,0.2,0.01,60,0.763513513513513,0.836538461538462,0.590909090909091,0.730320355320355
"9",0.2,0.2,0.2,0.01,10,0.829931972789116,0.883495145631068,0.704545454545455,0.805990857655213
"10",0.2,0.2,0.2,0.01,20,0.789115646258503,0.854368932038835,0.636363636363636,0.759949404886992
"11",0.2,0.2,0.2,0.01,40,0.789115646258503,0.854368932038835,0.636363636363636,0.759949404886992
"12",0.2,0.2,0.2,0.01,60,0.775510204081633,0.844660194174757,0.613636363636364,0.744602253964251
"13",0.2,0.2,0.2,0.02,10,0.790540540540541,0.826923076923077,0.704545454545455,0.774003024003024
"14",0.2,0.2,0.2,0.02,20,0.817567567567568,0.846153846153846,0.75,0.804573804573805
"15",0.2,0.2,0.2,0.02,40,0.777027027027027,0.817307692307692,0.681818181818182,0.758717633717634
"16",0.2,0.2,0.2,0.02,60,0.763513513513513,0.807692307692308,0.659090909090909,0.743432243432243
"17",0.2,0.2,0.2,0.02,10,0.804054054054054,0.865384615384615,0.659090909090909,0.776176526176526
"18",0.2,0.2,0.2,0.02,20,0.790540540540541,0.855769230769231,0.636363636363636,0.760891135891136
"19",0.2,0.2,0.2,0.02,40,0.790540540540541,0.855769230769231,0.636363636363636,0.760891135891136
"20",0.2,0.2,0.2,0.02,60,0.777027027027027,0.846153846153846,0.613636363636364,0.745605745605746
"21",0.2,0.2,0.2,0.02,10,0.816326530612245,0.87378640776699,0.681818181818182,0.790643706732472
"22",0.2,0.2,0.2,0.02,20,0.789115646258503,0.854368932038835,0.636363636363636,0.759949404886992
"23",0.2,0.2,0.2,0.02,40,0.761904761904762,0.83495145631068,0.590909090909091,0.729255103041511
"24",0.2,0.2,0.2,0.02,60,0.748299319727891,0.825242718446602,0.568181818181818,0.71390795211877
"25",0.2,0.2,0.2,0.03,10,0.804054054054054,0.836538461538462,0.727272727272727,0.789288414288414
"26",0.2,0.2,0.2,0.03,20,0.777027027027027,0.817307692307692,0.681818181818182,0.758717633717634
"27",0.2,0.2,0.2,0.03,40,0.722972972972973,0.778846153846154,0.590909090909091,0.697576072576073
"28",0.2,0.2,0.2,0.03,60,0.75,0.798076923076923,0.636363636363636,0.728146853146853
"29",0.2,0.2,0.2,0.03,10,0.777027027027027,0.846153846153846,0.613636363636364,0.745605745605746
"30",0.2,0.2,0.2,0.03,20,0.763513513513513,0.836538461538462,0.590909090909091,0.730320355320355
"31",0.2,0.2,0.2,0.03,40,0.804054054054054,0.865384615384615,0.659090909090909,0.776176526176526
"32",0.2,0.2,0.2,0.03,60,0.804054054054054,0.865384615384615,0.659090909090909,0.776176526176526
"33",0.2,0.2,0.2,0.03,10,0.816326530612245,0.87378640776699,0.681818181818182,0.790643706732472
"34",0.2,0.2,0.2,0.03,20,0.802721088435374,0.864077669902913,0.659090909090909,0.775296555809732
"35",0.2,0.2,0.2,0.03,40,0.775510204081633,0.844660194174757,0.613636363636364,0.744602253964251
"36",0.2,0.2,0.2,0.03,60,0.761904761904762,0.83495145631068,0.590909090909091,0.729255103041511
"37",0.2,0.2,0.2,0.05,10,0.709459459459459,0.769230769230769,0.568181818181818,0.682290682290682
"38",0.2,0.2,0.2,0.05,20,0.777027027027027,0.817307692307692,0.681818181818182,0.758717633717634
"39",0.2,0.2,0.2,0.05,40,0.736486486486487,0.788461538461538,0.613636363636364,0.712861462861463
"40",0.2,0.2,0.2,0.05,60,0.763513513513513,0.807692307692308,0.659090909090909,0.743432243432243
"41",0.2,0.2,0.2,0.05,10,0.777027027027027,0.846153846153846,0.613636363636364,0.745605745605746
"42",0.2,0.2,0.2,0.05,20,0.763513513513513,0.836538461538462,0.590909090909091,0.730320355320355
"43",0.2,0.2,0.2,0.05,40,0.722972972972973,0.807692307692308,0.522727272727273,0.684464184464185
"44",0.2,0.2,0.2,0.05,60,0.736486486486487,0.817307692307692,0.545454545454545,0.699749574749575
"45",0.2,0.2,0.2,0.05,10,0.829931972789116,0.883495145631068,0.704545454545455,0.805990857655213
"46",0.2,0.2,0.2,0.05,20,0.789115646258503,0.854368932038835,0.636363636363636,0.759949404886992
"47",0.2,0.2,0.2,0.05,40,0.816326530612245,0.87378640776699,0.681818181818182,0.790643706732472
"48",0.2,0.2,0.2,0.05,60,0.761904761904762,0.83495145631068,0.590909090909091,0.729255103041511
"49",0.2,0.2,0.2,0.06,10,0.736486486486487,0.788461538461538,0.613636363636364,0.712861462861463
