"","gota1","gota2","gota3","lr","epocas","exactitud","precision","precision_secundaria","promedio"
"1",0.2,0.2,0.2,0.01,10,0.636363636363636,0.588235294117647,0.677966101694915,0.634188344058733
"2",0.2,0.2,0.2,0.01,20,0.618181818181818,0.568627450980392,0.661016949152542,0.615942072771584
"3",0.2,0.2,0.2,0.01,40,0.545454545454545,0.490196078431373,0.593220338983051,0.54295698762299
"4",0.2,0.2,0.2,0.01,60,0.581818181818182,0.529411764705882,0.627118644067797,0.579449530197287
"5",0.2,0.2,0.2,0.01,10,0.536363636363636,0.549019607843137,0.525423728813559,0.536935657673444
"6",0.2,0.2,0.2,0.01,20,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
"7",0.2,0.2,0.2,0.01,40,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"8",0.2,0.2,0.2,0.01,60,0.590909090909091,0.607843137254902,0.576271186440678,0.59167447153489
"9",0.2,0.2,0.2,0.01,10,0.513761467889908,0.490196078431373,0.53448275862069,0.512813434980657
"10",0.2,0.2,0.2,0.01,20,0.605504587155963,0.588235294117647,0.620689655172414,0.604809845482008
"11",0.2,0.2,0.2,0.01,40,0.532110091743119,0.509803921568627,0.551724137931034,0.531212717080927
"12",0.2,0.2,0.2,0.01,60,0.532110091743119,0.509803921568627,0.551724137931034,0.531212717080927
"13",0.2,0.2,0.2,0.02,10,0.654545454545455,0.607843137254902,0.694915254237288,0.652434615345881
"14",0.2,0.2,0.2,0.02,20,0.581818181818182,0.529411764705882,0.627118644067797,0.579449530197287
"15",0.2,0.2,0.2,0.02,40,0.563636363636364,0.509803921568627,0.610169491525424,0.561203258910138
"16",0.2,0.2,0.2,0.02,60,0.545454545454545,0.490196078431373,0.593220338983051,0.54295698762299
"17",0.2,0.2,0.2,0.02,10,0.572727272727273,0.588235294117647,0.559322033898305,0.573428200247742
"18",0.2,0.2,0.2,0.02,20,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
"19",0.2,0.2,0.2,0.02,40,0.627272727272727,0.647058823529412,0.610169491525424,0.628167014109188
"20",0.2,0.2,0.2,0.02,60,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"21",0.2,0.2,0.2,0.02,10,0.623853211009174,0.607843137254902,0.637931034482759,0.623209127582278
"22",0.2,0.2,0.2,0.02,20,0.587155963302752,0.568627450980392,0.603448275862069,0.586410563381738
"23",0.2,0.2,0.2,0.02,40,0.513761467889908,0.490196078431373,0.53448275862069,0.512813434980657
"24",0.2,0.2,0.2,0.02,60,0.55045871559633,0.529411764705882,0.568965517241379,0.549611999181197
"25",0.2,0.2,0.2,0.03,10,0.636363636363636,0.588235294117647,0.677966101694915,0.634188344058733
"26",0.2,0.2,0.2,0.03,20,0.618181818181818,0.568627450980392,0.661016949152542,0.615942072771584
"27",0.2,0.2,0.2,0.03,40,0.618181818181818,0.568627450980392,0.661016949152542,0.615942072771584
"28",0.2,0.2,0.2,0.03,60,0.563636363636364,0.509803921568627,0.610169491525424,0.561203258910138
"29",0.2,0.2,0.2,0.03,10,0.572727272727273,0.588235294117647,0.559322033898305,0.573428200247742
"30",0.2,0.2,0.2,0.03,20,0.590909090909091,0.607843137254902,0.576271186440678,0.59167447153489
"31",0.2,0.2,0.2,0.03,40,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"32",0.2,0.2,0.2,0.03,60,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"33",0.2,0.2,0.2,0.03,10,0.623853211009174,0.607843137254902,0.637931034482759,0.623209127582278
"34",0.2,0.2,0.2,0.03,20,0.55045871559633,0.529411764705882,0.568965517241379,0.549611999181197
"35",0.2,0.2,0.2,0.03,40,0.55045871559633,0.529411764705882,0.568965517241379,0.549611999181197
"36",0.2,0.2,0.2,0.03,60,0.55045871559633,0.529411764705882,0.568965517241379,0.549611999181197
"37",0.2,0.2,0.2,0.05,10,0.618181818181818,0.568627450980392,0.661016949152542,0.615942072771584
"38",0.2,0.2,0.2,0.05,20,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"39",0.2,0.2,0.2,0.05,40,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"40",0.2,0.2,0.2,0.05,60,0.636363636363636,0.588235294117647,0.677966101694915,0.634188344058733
"41",0.2,0.2,0.2,0.05,10,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
"42",0.2,0.2,0.2,0.05,20,0.590909090909091,0.607843137254902,0.576271186440678,0.59167447153489
"43",0.2,0.2,0.2,0.05,40,0.627272727272727,0.647058823529412,0.610169491525424,0.628167014109188
"44",0.2,0.2,0.2,0.05,60,0.536363636363636,0.549019607843137,0.525423728813559,0.536935657673444
"45",0.2,0.2,0.2,0.05,10,0.568807339449541,0.549019607843137,0.586206896551724,0.568011281281468
"46",0.2,0.2,0.2,0.05,20,0.623853211009174,0.607843137254902,0.637931034482759,0.623209127582278
"47",0.2,0.2,0.2,0.05,40,0.642201834862385,0.627450980392157,0.655172413793103,0.641608409682549
"48",0.2,0.2,0.2,0.05,60,0.623853211009174,0.607843137254902,0.637931034482759,0.623209127582278
"49",0.2,0.2,0.2,0.06,10,0.636363636363636,0.588235294117647,0.677966101694915,0.634188344058733
"50",0.2,0.2,0.2,0.06,20,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"51",0.2,0.2,0.2,0.06,40,0.581818181818182,0.529411764705882,0.627118644067797,0.579449530197287
"52",0.2,0.2,0.2,0.06,60,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"53",0.2,0.2,0.2,0.06,10,0.463636363636364,0.470588235294118,0.457627118644068,0.46395057252485
"54",0.2,0.2,0.2,0.06,20,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
"55",0.2,0.2,0.2,0.06,40,0.554545454545455,0.568627450980392,0.542372881355932,0.555181928960593
"56",0.2,0.2,0.2,0.06,60,0.627272727272727,0.647058823529412,0.610169491525424,0.628167014109188
"57",0.2,0.2,0.2,0.06,10,0.587155963302752,0.568627450980392,0.603448275862069,0.586410563381738
"58",0.2,0.2,0.2,0.06,20,0.513761467889908,0.490196078431373,0.53448275862069,0.512813434980657
"59",0.2,0.2,0.2,0.06,40,0.660550458715596,0.647058823529412,0.672413793103448,0.660007691782819
"60",0.2,0.2,0.2,0.06,60,0.605504587155963,0.588235294117647,0.620689655172414,0.604809845482008
"61",0.2,0.2,0.2,0.1,10,0.563636363636364,0.509803921568627,0.610169491525424,0.561203258910138
"62",0.2,0.2,0.2,0.1,20,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"63",0.2,0.2,0.2,0.1,40,0.545454545454545,0.490196078431373,0.593220338983051,0.54295698762299
"64",0.2,0.2,0.2,0.1,60,0.472727272727273,0.411764705882353,0.525423728813559,0.469971902474395
"65",0.2,0.2,0.2,0.1,10,0.536363636363636,0.549019607843137,0.525423728813559,0.536935657673444
"66",0.2,0.2,0.2,0.1,20,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"67",0.2,0.2,0.2,0.1,40,0.645454545454546,0.666666666666667,0.627118644067797,0.646413285396336
"68",0.2,0.2,0.2,0.1,60,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
"69",0.2,0.2,0.2,0.1,10,0.495412844036697,0.470588235294118,0.517241379310345,0.494414152880387
"70",0.2,0.2,0.2,0.1,20,0.532110091743119,0.509803921568627,0.551724137931034,0.531212717080927
"71",0.2,0.2,0.2,0.1,40,0.642201834862385,0.627450980392157,0.655172413793103,0.641608409682549
"72",0.2,0.2,0.2,0.1,60,0.532110091743119,0.509803921568627,0.551724137931034,0.531212717080927
"73",0.2,0.2,0.3,0.01,10,0.654545454545455,0.607843137254902,0.694915254237288,0.652434615345881
"74",0.2,0.2,0.3,0.01,20,0.6,0.549019607843137,0.644067796610169,0.597695801484436
"75",0.2,0.2,0.3,0.01,40,0.563636363636364,0.509803921568627,0.610169491525424,0.561203258910138
"76",0.2,0.2,0.3,0.01,60,0.581818181818182,0.529411764705882,0.627118644067797,0.579449530197287
"77",0.2,0.2,0.3,0.01,10,0.554545454545455,0.568627450980392,0.542372881355932,0.555181928960593
"78",0.2,0.2,0.3,0.01,20,0.627272727272727,0.647058823529412,0.610169491525424,0.628167014109188
"79",0.2,0.2,0.3,0.01,40,0.627272727272727,0.647058823529412,0.610169491525424,0.628167014109188
"80",0.2,0.2,0.3,0.01,60,0.609090909090909,0.627450980392157,0.593220338983051,0.609920742822039
